stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  3-4,9.89,62.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,57.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.45,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.73,0,0,0,8.46,0,8.66,0,0,0,0,0,0,0
 10-12,0,18.43,0,6.05,0,0,0,0,0,0,5.94,0,0,0,0,0,0,0,0,0,60.48,0,0,0,6.45,0,0,0,17.41,0,0,0,0,0
 14-21,0,0,0,1.04,7.19,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,0,12.03,0,0,0,0,0.89,0,2.87,0,1.68,0,0,0,0
 24-34,0,0,0,0,6.95,0,0,0,0,0.71,0,0,0,0,0,0,1.13,0,0,0,29.97,0,1.25,0.73,0,1.69,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.84,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,8.07,0,1.3,0,0,5.01,0,0,0,0,0.8,0,0,0
 48-58,0,0,0,0,3.93,0,0.89,0,0.92,4.28,0,0.73,0,0,0.48,0.99,3.02,0,0.68,0.42,23.8,0.56,2.56,1.1,0,3.64,0,0,0.53,0,2.81,0,0,0
 60-70,0,0,0,0,3.43,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,12.34,0,1.37,0.72,0,6.1,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,5.13,0,5.07,1.74,0,0,0,0,0,0.93,0,0,2.56,0,0,0,16.94,0,0.74,0.56,0,6.35,0,0,0.84,0,2.32,4.15,0,2.17
 84-94,0,0,1.65,0,13.44,1.39,2.77,0,0,2.72,0,0,0,0,1.1,0,1.42,1.71,0.72,0,3.06,0,0,1.81,0,10.1,0,0,0,0,0,1.46,2.73,0
 96-106,0,0,2.01,0,3.13,1.52,0,0,0,1.8,0,0,0,1.72,4.54,0,3.58,0,2.17,0,1.94,0,0.57,1.98,0,4.34,0,0,0,0,0,0,0,0
108-118,0,0,0.98,0,6.3,0.66,0,0,1.13,5.78,0,0,3.21,0.52,0,0,6.05,0,0.45,0,21.9,0,2.84,0,0,10.08,0,0,0.52,0,0,0,0,0
120,0,0,0,0,4.97,1.14,0,0,0,4.01,0,0,0,0,0,0,13.04,0,0,0,4.3,0,0,15.53,0,6.44,0,0,3.15,0,0,0,0,0
