stage,epidermis,eye,fin.mesenchyme,glial,hatching.gland,heart,immune,mesenchyme,muscle,neural,notochord,pronephros,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,3.29,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.61,0,0,0,0
 14-21,1.95,0,0,0,0,0,0,0,1.68,1.22,1.01,0,0,0
 24-34,0,0,0,0,0,0,0,10.8,1.29,0,0,0,0,0
 36-46,0,0,0.78,0,0,0,0,4.79,0.59,1.14,0,0.59,0,0
 48-58,0,0,0,0.73,0,0,0,4.62,1.53,0,0,0,0,0
 60-70,0,5.98,0,0,0,0,0,2.89,0,0,0,0,0,0
 72-82,0,11.74,0,0,0,1.95,0,2.31,0,0,0,0,0.5,1.53
 84-94,0,13.08,0,0.69,0,0,0,4.93,0,1.07,0,0,0,0
 96-106,1.37,3.04,0,0,0,0.95,0,3.46,0,0,0,0,0,0
108-118,0,6.4,0,1.58,0,0.69,0.86,1.76,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.37,0,0,0,0,0,0
