stage,epidermis,eye,fast.muscle,glial,iridophores,liver,mesenchyme,mural.cell,neural,notochord,otic,pronephros,spinal.cord,vasculature
 14-21,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.11,0,7.74,0.95,0,0,0,4.54
 36-46,0,0.76,0,0,0,0,1.42,0,3.56,3.79,0,0,0.99,0.65
 48-58,0,6.4,0,0.94,0,0.39,1.83,0,3.58,4.73,0,6.15,0,3.24
 60-70,0.73,29.83,0,0,0,0,20.41,0,4.08,0,0,0,1.91,0
 72-82,0,62.86,0,0.96,0,0,19.29,0,6.75,0,0,0,8.96,5.03
 84-94,1.96,17.72,0,0,1.97,0,11.87,0,3.67,0,0,0.56,0,1.2
 96-106,0,38.5,0,0,0,0,12.16,0,12.56,0,0.6,0,0,0
108-118,0,42.71,0,4.82,0,0,0.89,1.15,2.84,0,6.8,0,0,0
120,0,46.78,1.01,3.44,0,0,30.62,0,3.2,0,0,0,0,2.27
