stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,melanocytes,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,14.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.42,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.71,0,0,0,1.01,0,0,0,4.44,0,0,3.13,0,0,0.99,0,0,2.86,0.81,15.47,0,0,4.34
 24-34,0,0,0,9.34,0,0,0,2.69,0,0,0,11.42,0,0,6.73,0,20.02,0,0,0,1.88,0,5.19,0,0,0.63
 36-46,0,0,0,7.3,0,0,2.07,0,0,0,2.1,5.41,0,0,14.2,0,42.48,0,0,0,0,0,8.06,0,0,20.48
 48-58,0,0,0,1.4,0,0,0,0.68,0,0.47,1.97,3.73,0,0,46.36,5.53,24.44,0,0,0.58,1.61,0,11.65,0,0,20.16
 60-70,0,0,0,6.81,0,0,0,4.7,0,0,2.88,0,0,0,12.18,0,20.22,0,0,0.65,0,0,10.73,0,0,6.75
 72-82,0,0,0,21.32,0,0,0,21.61,0.77,1.49,1.95,2.82,0.52,0,40.33,0,31.62,2.6,0,11.07,0,0,6.8,1.34,0,13.64
 84-94,0,2.65,0,36.01,18.23,0.56,0,12.03,0,3.1,4.46,11.58,0,0,46.36,0,37.99,7.38,0,47.93,0,0,9.88,0,1.83,30.02
 96-106,0,4.87,6.61,96.53,0,0.57,0,39.12,0,6.94,16.42,4.9,2.54,1.64,62.41,0,42.29,0,0,88.23,0,0,6.88,0,0.61,19.23
108-118,0,6.24,0,43.19,0,0.98,0,31.3,8.1,4.45,21.34,14.46,3.13,3.29,69.81,0.41,46,0,0,34.19,0,0,10.06,0,0,48.54
120,0,4.74,0,81.05,0,0,0,16.8,0,17.52,1.62,4.79,0,0,94.41,0,6.89,0,0,32.99,0,0,0,0,0,20.32
