stage,mesenchyme,neural
 10-12,0,6.75
 36-46,1.45,1.74
 48-58,0,1.12
 60-70,0,1.64
 72-82,0.53,3.99
 84-94,0,6
 96-106,0.73,0
108-118,0,5.28
120,0,21.45
