stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,16.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.06,57.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.42,0,0,0,0,49.42,0,0,0,0,0,0,0,0,0,12.51,0,0,0,16.78,0,0,0,0,0,0,0
 10-12,0,0,0,7.75,0,0,0,0,0,0,0,0,52.33,0,0,0,0,0,0,0,0,0,164.57,0,0,0,37.77,0,5.47,10.53,0,0,0,0
 14-21,0,0,0,1.81,376.3,0,0,0,0,0,0,0,0,1.3,0,0,0,0,1.87,1.02,0,0,21.96,1.23,0.93,0.97,0,5.46,0,3.69,1.21,0,0,0
 24-34,0,0,0,1.68,155.3,0,0,0.69,3.03,0,0,0,0,0,0,0,1.61,3.78,3.1,1.48,0,0,25.08,0,2.28,0,0,0,0,0,7.67,0,0,0.69
 36-46,0,0,0,0,102.73,0,0,3.39,22.36,0,0,0,0,0,0,0,1.5,0,2.53,0,0,0.94,32.15,0.72,0,0,0,0,0,0,5.03,2.3,0,0
 48-58,0,0,0,0,35.6,0,0,4.8,10.57,3.11,0,0,0,0,0,0,10.04,0,3.53,0.37,0,0.61,19.83,0,0.44,0,0,0,0,6.84,3.22,0,0,0
 60-70,0,0,0,0,41.56,0,0,5.35,4.33,0.75,1.2,0,0,0,2.8,1.16,4.51,0,16.13,0,1.04,1.41,21.78,0,0.88,0.82,0,0,0,0,1.54,0,0,0
 72-82,0,0,0.87,0,42.17,4.81,0,14.38,5.73,7.58,3.91,0,0,0.52,0,0,50.64,0,28.57,1.29,0,0.58,24.06,0,0.58,0,0,0,0,0.52,0,0,0,0
 84-94,0,0,0,0,57.05,0,2.1,3.38,14.49,6.52,4.45,0.63,0,1.78,0,0,103.22,0,55.72,0,0,0,15.3,0,0.61,0,0,0,0,3.82,0,0,1.63,1.41
 96-106,0,0,0,0,74.5,6.77,0,20.86,13.36,11.82,3.88,0,0,0,0,0,180.55,0,56.3,2.95,0,0,60.33,0,0,0.66,0,0,0,3.85,0,4.53,0,0.8
108-118,0,0,1.58,0,110.46,2.82,6.37,14.39,20.95,14.69,6.14,0.52,0,0.49,0,0.98,233.6,0.64,56.8,0.47,2.74,0,46.11,0,0.7,0,0,5.72,0,2.05,0,0.65,0,1.88
120,0,0,0,0,102.17,0,0,9.26,23.68,4.56,0,6.74,0,0,0,0,272.57,0,105.35,0,0,7.54,92.04,0,3.22,0,0,3.21,0,4.96,0,0,0,0
