stage,axial,blastomeres,endoderm,eye,gut,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,pgc,pronephros
  3-4,92.46,2361.43,0,0,0,0,0,0,0,87.02,0,0
  5-6,161.02,2059.3,0,0,0,0,110.88,0,24.36,0,0,0
  7-9,13.03,14.75,9.93,5.71,0,15.43,325.89,16.15,99.86,0,23.39,0
 10-12,0,0,6.89,15.03,0,9.18,124.69,0,79.09,0,10.78,7.26
 14-21,0,0,0,0,0,0,1.43,0.81,0,0,0.9,0
 24-34,0,0,0,0,0,0,1.13,0,0,0,0,0
 48-58,0,0,0,0.54,0,0,0,0,0,0,0,0
 60-70,0,0,0,1.8,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0.67,0,0,0,0,0
120,0,0,0,0,1.85,0,0,0,0,0,0,0
