stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,immune,mesenchyme,mural.cell,neural,olfactory,paraxial.mesoderm,periderm,pgc,spinal.cord,visceral.smooth.muscle
  3-4,0,9.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.29,43.06,0,0,0,0,0,0,0,0,0,0,0,0,8.08,0,0,0
  7-9,0,0,5.52,0,0,0,0,0,0,0,0,21.92,0,0,0,7.71,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,15.89,0,7.41,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 36-46,0,0,0,0,0.65,0,0,0,0,0,0,5.33,0,0,4.17,0,0,0
 48-58,0,0,0,0,2.53,2.11,0,0,0,3.53,0,2.35,0.4,0,0.65,0,0,0
 60-70,0,0,0,0,0.79,0,0.64,0,0,0,0,5.67,0,0,0.72,0,0,0
 72-82,0,0,0,0.63,2.84,0,0,0,0,1.11,4.32,3.85,2.57,0,0,0,2.57,1.39
 84-94,0,0,0,0,2.91,0,0,0.67,1.59,5.45,0,2,0,0,0.57,0,0,0
 96-106,0,0,0,0,0.57,0,0,0,0,1.39,0,3.5,0,0,6.59,0,0,0
108-118,0,0,0,0,10.19,0,0,0,0.65,3.54,0,8.18,0,0,2.87,0,0,0
120,0,0,0,0,9.87,0,0,0,0,0,0,18.94,0,0,0,0,0,0
