stage,epidermis,fin.epithelia,gut,ionocyte,liver,mucous,neural,otic,periderm,taste
 14-21,0,0,0,0,0,0,0,0,0.84,0
 24-34,0,0,0,0,0,0,0,0.86,2.53,0
 36-46,0,0,0,0,0,0,0,0,1.05,0
 48-58,0,0,0,0,0,1.77,0,0,0.87,0
 60-70,0,0,0,0,0,0,0,0,1.31,0
 72-82,0.8,0,0,0.93,0,0,1.06,0,0.56,0.71
 84-94,0,0.63,0.9,0,0.56,0,0,0,3.59,0
 96-106,2.24,0,0,0,3.07,0,0,0,2.72,0
108-118,0,0,0,0,0,0,0,0,7.92,0
120,0,0,0,0,0,0,0,0,1,0
