stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,102.22,1471.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.81,1449.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.71,0,0,0,0,0,35.93,0,0,0,0,0,0,0,0,0
  7-9,7.61,19.33,0,17.37,0,0,0,127.4,0,0,0,0,7.3,0,0,0,0,0,0,0,0,0,0,727.16,31.01,0,0,162.66,0,5.4,6.2,0,0,0,0,0,0,0,0
 10-12,0,73.93,0,23.05,0,23.63,0,139.39,0,0,0,0,6.38,0,0,0,0,0,0,0,0,0,0,1570.72,3.72,0,0,320.96,0,0,15.11,0,25.74,0,0,0,0,0,0
 14-21,0,0,0,2.83,38.09,1.34,0,16.61,0,0,4.55,1.64,0,0.81,0,0.96,0,0.84,0,20.11,0,0,8.3,357.12,5.59,0.95,4.29,8.95,0,6.49,0,13.06,0.87,8.7,99.49,0,0.89,0,0
 24-34,0.88,0,0,1.27,6.54,1.53,0,72.52,1.4,0.99,5.44,1.69,1.11,1,0,0,2.07,0.72,0.94,31.54,1.33,0,12.82,514.45,0.66,4.4,2.78,0,0,14.31,0,0,0,1.95,105.32,0,3.43,0,1.55
 36-46,0,0,0,0.56,17.74,0,0,118.14,1.46,0.62,22,0,0,0.92,1.42,0,0,1.43,0.87,29.75,0,1.66,9.26,335.57,1.14,1.77,6.25,0,0,11.44,0,0,0,0,57.35,0,1.33,0,0
 48-58,0,0,0,0,7.91,0,0,114,2.36,1.19,25.54,0,0,0,5.26,0,0,0.5,0,28.24,0.42,1.02,8.01,166.1,0,0,1.45,0,0,4.56,0,0,0,0,40.3,0,1.06,0,0
 60-70,0,0,0,0,8.16,0.71,0,80.19,0,1.43,18.32,0.64,0,0,11.31,0,10.4,0,2.89,19.78,0,2.73,1.47,166.41,0,0,1.89,0,0.66,4.22,0,0,0,0,8.68,0,1.32,0,0
 72-82,0,0,0.83,0,4.13,0,0.76,50.81,0.8,0.8,16.08,0,0,2.66,3.25,0.59,0,1.42,0,26.26,0,0.71,4.16,116.78,0,1.2,0.79,0,2.93,3.54,0,0,0,0,1.65,0,0,0.67,0
 84-94,0,0,0,0,9.84,0,0,44.1,1.59,0.6,14.6,0.92,0,0,2.05,0,0.75,0,0,31.54,0,1.31,7.76,102.54,0,1.86,1.39,0,0,9.78,0,0,0.74,0,6.53,0.56,5.76,0,0
 96-106,0,0,0.95,0,1.2,0,0,22.83,0,1.44,22.37,4.54,0,0,0,1.42,0.57,0.58,0,17.11,0,0,5.39,73.45,0,3.46,2.9,0,0,4.23,0,0,0.67,0,5.44,0,2.02,0,0
108-118,0,0,0,0,5.94,1.27,0,33.33,1.48,0,23.1,0,0,0,6.16,0,1.79,0,2.22,13.52,0,0,2.54,80.56,1.51,4.32,2.07,0,0,4.67,0,0,0,0,0,0,2.36,1.3,0
120,0,0,0,0,15.52,1.31,0,22.28,0,0,37.74,6.77,0,0,8.31,0,4.67,0,0,24.32,1.63,3.62,7.28,160.01,0,5.12,3.82,0,0,1.5,0,0,1.14,0,13.05,2.25,0,0,0
