stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,323.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941.68,0,0,0,0,0,0,0
  5-6,17.63,236.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.16,0,0,0,0,2006.11,0,0,0,0,0,0,0
  7-9,0,4.3,0,0,0,0,0,27.07,0,0,0,0,0,0,0,0,0,0,0,0,0,102.06,0,0,0,40.69,138.32,0,0,0,0,0,0,0
 10-12,0,0,0,6.9,0,0,0,11.53,0,0,0,0,0,0,0,0,0,0,0,0,0,58.56,10.12,0,0,10.94,8.04,0,0,0,0,0,0,0
 14-21,0,0,0,0.98,77.23,0,0,0,0,0,0,0,0,47.51,5.73,7.08,0,1.78,2.06,0,0.84,13.93,0,0.83,23.36,0,132.54,0.92,0,1.03,0.83,0,0,0
 24-34,0,0,0,0,16.82,0,0,2.4,0,1.59,2.16,0,0,48.54,9.6,1.3,0,0,3.5,0,0,21.43,0,0.68,3.27,0,167.88,0,0,0,1.59,0,2.75,0
 36-46,0,0,0,0,28.22,0,0,3.95,0,3.99,1.07,7.64,0.96,18.31,7.39,0,0,0,2.24,0,0.6,37.99,0,0.91,2.98,0,129.1,0,1.77,0,4.75,0,0,0
 48-58,0,0,0,0,20.89,0.45,0,5.03,0,27.67,0.98,1.46,0,2.93,11.48,2.6,0,5.03,3.35,0,0,14.69,0,0.98,5.1,0,58.89,0,0,0,1.11,0,0,0
 60-70,0,0,0,0,34.83,0,0,8.62,0,50.25,2.04,6.77,0,29.63,12.28,4.22,0,1.95,2.44,0,0,29.63,0,0,1.5,0,128.11,0,0,0,6.61,0,0,0
 72-82,0,0,0.62,0,41.61,4.11,0,30.3,0.59,38.6,1.08,13.52,3.2,12.72,3.78,6.97,0,6.57,2.08,0,0,29.43,0,0.74,2.96,0,98.9,0,0,0,0,0,0,0
 84-94,0,0,1.91,0,85.63,0,0,14.29,0,47.92,1.34,20.09,0,26.76,15.17,1.18,0,3.45,3.68,0,0,15.96,0,0.9,0,0,339.06,0,0,0,0,1.5,0,0
 96-106,0,0,3.16,0,97.13,0,1.23,1.48,0,68.53,6.82,57.39,5.26,39.81,11.48,10.72,0.98,3.66,16.43,0,2.48,58.59,0,2.37,0.6,0,491.66,0,1.88,0,0,1,0,2.2
108-118,0,0,2.54,0,136.71,6.38,0,5.32,0,108.78,0,43.54,0.58,35.68,12.08,4.66,0,11.46,6.5,0.63,0,25.06,0,0.52,0,0,263.83,0,3.58,0,0,3.5,0,0
120,0,0,3.64,4.41,170.72,1.87,0,0,0,94.76,0,83.61,0,45.48,3.5,10.03,0,4.23,2.75,0,0,65.68,0,0,16.05,0,243.7,0,0,0,1.7,1.14,0,0
