stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,28.89,1001.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,57.26,2025.2,0,0,0,0,0,0,0,0,0,17.77,0,0,0,0,0,0,0,0,0,66.74,0,0,0,33.07,0,27.46,0,0,0,0,0,0,0,0,0,0
  7-9,44.67,16.13,0,37.96,0,0,55.12,0,0,0,0,34.06,0,0,0,0,0,0,0,0,0,758.33,20.01,0,0,291.78,0,9.02,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.34,0,17.23,0,15.21,53.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537.64,21.44,0,0,211.48,0,0,0,23.34,0,10.25,0,0,0,0,0,0
 14-21,0,0,0,2.67,40.32,4.71,20.17,0,0,3.13,7.15,0,1.01,0,0,0,0,0,19.92,0,7.54,250.07,11.6,0,0,5.3,0,0.92,41.21,1.52,3.36,18.81,66.71,0,0,1.65,0,0
 24-34,0,0,0,0,4.58,0,24.76,0,0,3.69,0.67,0,0.62,0,0.79,0.7,0,1.28,31.17,0,9.39,232.18,0,3.07,0.82,0,0,5.53,0,2.69,0,7.23,46.54,0,0,5.45,0,2.7
 36-46,0,0,0,0,4.38,0,17.8,0,0.84,13.3,1.14,0,0,0,0,0,0,0,14.16,0,4.26,127.07,4.01,2.34,0.58,0,0,3.87,0,0,0,0,26.98,0,0,1.35,0,0
 48-58,0,0,0,0,4.33,0,36.18,3.69,0,19.59,0,0,0,0,0,0,0,0,18.29,0.77,3.36,79.82,0,0,4.14,0,0.56,4.64,0,0,0,0,17.45,0,0,1.65,0,10.37
 60-70,0,0,0,0,1,0,22.58,0,1.66,6.76,0,0,0,0,0,0,3.33,0,23.77,1.2,5.67,35.96,0,0,0,0,0,4.63,0,0,0,0,22.36,0,0,1.97,0,0
 72-82,0,0,1.09,0,0,0,17.08,0,0,12.8,0.51,0,0.55,0,0,0,0.83,0,32.62,1.55,2.58,52.14,1.29,0,0.75,0,0,2.58,0,0,0,0,11.38,0.62,0.5,1.53,1.46,1.08
 84-94,0,0,0.8,0,2.86,0,19.18,0.62,5.97,11.62,3.87,0,0.6,0,0,0,0.81,0,34.36,3.38,0.98,68.86,0.7,0,0,0,0,3.55,0,0,0,0,6.08,0,0,9.32,0,0
 96-106,0,0,1.36,0,2.14,0,9.09,0,1.12,12.29,0,0,0.62,1.28,0,0,0.92,0,23.72,2.71,1.36,27.86,0,1.95,1.94,0,0,2.55,0,0,0,0,2.61,0,0.66,0.58,1.92,2.94
108-118,0,0,0.93,0,4.53,0,14.81,1.39,0.71,26.82,0,0,0,0,0,0,0.6,0,34.61,2.79,4.47,50.3,0,0.7,2.39,0,0,1.1,0,0,0,0,4.28,0,0,3.26,0,0
120,0,0,0,0,2.65,0,1.83,1.06,4.1,3.66,0,0,0,0,0,0,0,0,3.3,0,2.34,63.82,0,3.36,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0
