stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,64.56,468.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.04,0,0,0,0,0,0,0,0,0,0
  5-6,14.91,839.19,0,19.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.56,0,0,0,6.56,0,9.04,0,0,0,0,0,0,0,0,0,0
  7-9,24.6,46.16,0,30.82,0,0,0,84.88,0,0,0,0,0,26.08,0,0,0,0,0,0,0,0,0,0,0,932.16,5.58,0,0,184.8,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.94,0,78.17,0,0,0,66.98,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,800.76,19.29,0,0,296.24,0,0,8.88,0,17.18,0,0,5.32,0,0,0,0
 14-21,0,0,1.32,2.25,7.27,14.92,0,4.36,0,0,0,3.64,0.97,1.19,0,0,0.92,0,0.93,0,0,13.86,0,0,1.86,113.29,0,0,5.24,5.24,0,4.65,0,2.19,0,6.11,9.84,31.43,0,0,0,0
 24-34,0,0,0,0,3.48,0,0,15.98,0,0,0,8.97,0.67,0,1.37,0,4.75,0,1.39,0,0,18.91,0,0,10.37,263.81,0,4.14,2.43,0,0,10.57,0,0,0,0,4.92,45.71,0,0,3.8,0.77
 36-46,0,0,0,0,6.52,0.79,0,58.49,0,0,0,12.94,0,0,0,0,0,0,0,0,0,34.86,0,0,4.23,315.9,2.18,5.73,0,0,0,2.18,0,0,0.81,0,0,73.55,0,0,0.76,0
 48-58,0.58,0,0,0,5.76,0,0,78.89,0,0,16.13,19.7,1.26,0,1.56,0.56,3.66,8.17,0.43,0,8.4,21.84,0.45,0,11.28,292.92,0,5.53,1.11,0,0,20.7,0,0,0,1.41,0,43.68,0,0,3.13,1.17
 60-70,2.52,0,0,0,16.39,0,0,138.4,0.84,2.25,0.68,28.73,0,0,0,5.97,0,0,3.61,0.74,0,41.25,0,1.02,1.65,245.77,0.7,0,0.65,0,0,17.34,0,0,0,0,0,56.73,2.18,0.9,9.63,0
 72-82,0,0,0,0,5.67,1.37,0,87.03,1.29,0.55,0.74,10.83,2.43,0,0.87,0.54,0.56,0,0.57,6.81,0,41.42,0,0.55,6.93,174.94,0,0,0.71,0,0,8.87,0,0,0,0,0,27.23,0.87,0,11.62,2.9
 84-94,0,0,0,0,4.32,0,0.59,102.13,0.55,0,0,19.04,0.86,0,0,1.33,1.1,1.02,0.58,0.57,0.73,31.82,0,0.6,5.95,148.01,1.26,1.26,4.81,0,0,13.98,0,0,0,0,0,9.63,3.28,0.71,13.22,0
 96-106,0,0,0,0,1.81,9.55,0,58.61,1.65,0.71,0.75,13.83,1.59,0,2.57,5.59,4.31,0.77,0.57,0,9,31.89,0,3.21,7.3,104.74,0,2.89,0.59,0,0,12.37,0,0,0,0,0,8.36,0,1.22,1.39,0.62
108-118,0,0,0,0,10.45,0.47,4.44,62.44,0,2.2,1.25,29.28,1.03,2.74,1.02,3.96,0.45,1.57,1.23,0,0.47,27.99,2.74,4,2.6,127.09,0,1.69,2.67,0,1.57,9.79,0,0,0,0,0,1.53,1.3,0,8.15,7.71
120,0,0,0,0,4.68,0,0,87.91,0,0,0,47.97,1.24,0,0,1.96,0,0,8.99,1.14,0,33.42,1.1,21.15,1.8,215.96,0,0,5.75,0,0,2.35,0,0,1.02,0,0,1.75,0,0,0,0
