stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,gut,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,periderm,presomitic.mesoderm,somites,taste,xanthophores
  3-4,43.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0,0
  5-6,22.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0.86,0.88,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,1.43,0,3.04,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,1.46,1.8,3.22,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,1.88,0,8.92,0,0,0,0
 60-70,0,0,0,0,0,0,0,2.14,0,0,0,4.53,0,0,1.46,0,11,0,0,0,0
 72-82,0,0,2.04,0,5,0,0,0,0,0.66,0,0.61,0,0,1.87,0.52,5.89,0,0,0.82,0
 84-94,0,0,6.83,0,2.21,0.55,0,2.5,0,0,0.67,2.44,0,0,4.14,0,24.36,0,0,0.66,0
 96-106,0,0,0,3.65,7.67,0,0.89,3.53,0.94,0,0,9.37,0,0,3.24,0.56,37.32,0,0,0,0
108-118,0,0,5.99,0,0,1.33,0,2.72,0.61,0,0,0,1.84,0,0,0.47,39.57,0,0,0.42,0
120,0,0,2.83,0,0,1.13,0,1.4,0,0,0,0,4.84,0,1.58,0,66.42,0,0,0,3.6
