stage,axial,endocrine.pancreas,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.42,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.95,0,0,0,0,0,0,0,0,0,15.14,0,0,14.93,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,1.89,0,33.05,10.6,0,0,0,0
 24-34,0,0.96,0,0,0,0,0,0,0,0,0,0,2.26,27.17,0,0,0,0,0,1.72,16.44,2.38,4.68,0,0,0
 36-46,0,1.42,0,4.01,0,0,0,0,0,2.1,0.68,0,0,41.98,0,0,0,3.32,0,1.26,6.05,0,24.57,0,0,0
 48-58,0,0,0.43,3.87,0.58,0.45,1.22,0,0,0.68,0,0,0.45,76.52,0,0.88,0,0,0,0,1.41,0,10.02,0,0.47,0
 60-70,0,0,0,0,0,0,1.71,0,0,0.85,0,0,0,30.5,0,5.57,0,0,0,0,3.18,0,7.06,0,0,21.39
 72-82,0,0,0,3.7,0,0,0,1.04,0,1.6,0,1.11,2.04,65.38,0,0,0,0.72,0,0,0.64,0,3.28,0.94,0.94,66.98
 84-94,0,1.29,0,5.71,0.72,0,1.28,0.62,0,1.9,0,2.51,0.76,24.45,0,0.77,0,0,0,0,1.56,0,0,0,0,114.72
 96-106,0,10.73,0,0,0,0,1.06,0,0,1.13,0,5.3,0.8,49.99,0,1.42,0,0,0,0,1.4,0,0.57,0,0,126.21
108-118,0,4.69,0,2.49,0,0,1.18,0.51,0,0,0,0,0.8,41.31,0.85,0,0,1.01,0,1.42,2.06,0,0,0,0,93.04
120,0,11.2,0,0,0,0,2.61,0,2.11,0,0,0,2.4,18.98,0,0,0,0,0,0,0,0,0,0,0,130.96
