stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,8.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,9.11,0,0,0,0,0,0,0,0,0,0,0,4.69,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,0,54.88,0,0,0,0,0,0,0
 14-21,0,0,0,0,78.97,0,0,0,0,0,3.86,0,0,0,0,0,1.16,0,1.08,0,0,0,1.03,0,1.91,5.2,0,0,40.22,0,0
 24-34,0,0,0.62,0,15.74,0,0,0,0,0,10.11,0,0,0,0,0,1.04,0.7,73.23,2.16,0,0,0,0,0,6.69,0,0,348.39,0,0
 36-46,0,0,0,0,3.2,0,0,0,0,0,8.22,0,0,0,0,0,0,0,203.21,0.59,0,0,0,0,0,5.05,0,0,294.24,0,0
 48-58,0,0,0,3,2.57,0,5.87,0,14.15,0,18.56,0,0,0,0,0,0,0,263.66,1.24,0,0,0,0,0,16.38,0,0,201.54,0,0.54
 60-70,0,0,0,0,0,0,5.68,0,18.1,0,7.88,0,5.65,0,0,0,5.18,5.89,412.95,5.76,4.42,6.06,0,0,0,14.88,0,1.47,207.18,0,0
 72-82,0,1.19,0,1.55,0.59,0,23.03,1.72,87.04,1.1,30.52,0,0.93,0,0,0,28.07,0,595.73,2.44,0.66,0.6,0,0,0,7.62,0.97,0,362.51,0.71,1.89
 84-94,0,1.18,0,1.22,0,0,16.51,0,91.11,3.79,18.24,1.93,0,1.52,0,0,6.53,1.47,379.11,19.49,0,0,0,0,0,1.47,0,0.63,293.29,0,0
 96-106,0,0,0,1.1,19.72,0,18.92,0.82,124.84,0,20.86,0,0,0,4.54,0,28.13,0,323.61,2.78,0,0,0,0,0,3,0,1.65,373.77,0,0
108-118,0,0,0,0.93,0,0.5,21.25,3.13,81.63,1.45,9.59,2.23,0,0,0,0.59,9.63,0,440.27,3.79,0,0,0,1.15,0,0,1.89,0,345.56,0,0
120,0,0,0,12.98,3.02,0,34.07,0,94.58,0,27.96,4.75,0,0,0,0,23.51,0,822.16,0,0,2.81,0,0,0,6.87,0,0,336.85,0,0
