stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,11.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.2,80.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,10.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,3.84,0,0,3.99,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6,5.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.07,4.61,0.84,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.07,24.44,0,0,0,0,0,0,0,1.03,20.91,0,0,0,0,0
 24-34,0,0,2.73,0,0,24.53,0,0,0,2.58,0,0,0,0,0,0,0,5.98,2.24,0,0,5.05,306.05,0,11.71,0,0,0,1.65,0,4.12,1.92,125.35,0,0,0.61,0,4.67
 36-46,0,0,0,2.38,0,73.68,4.85,0,0,52.34,0,0,0,0,0,0.86,0,27.45,5.28,0,0,0.73,764.22,1.04,13.43,0,0,0,5.29,0,6.17,0,173.37,0,0,0,0,21.85
 48-58,0,0,0.42,6.91,3.01,545.87,1.36,7.79,2.27,130.38,0,0,0,0,0,0,0,33.25,16.94,0,0.48,1.93,1188.32,0,9.3,0,0,0,0.56,0,9.16,0,229.12,0,0,2.34,0,16.19
 60-70,0,0,0,10.57,0,2715.4,3.1,1.38,1.8,317.9,0,0,15.56,0,0.57,5.37,0,5.67,13.22,0,25.86,2.27,2134.38,0,3.87,6.8,0,0,6.17,0,7.34,0,211.5,0,0,2.56,0,22.96
 72-82,0,0,0.71,20.34,5.87,3445.18,2.66,2.26,0,391.6,5.94,1.41,3.42,0,10.34,0.79,0,15.84,43.87,2.99,1.37,0,2459.73,1.04,9.89,4.74,0,2.2,10.4,0,3.03,0,180.15,0,1.05,16.11,3.02,22.91
 84-94,0,0,0,20.1,5.1,2639.12,0,0,9.14,369.33,3.61,0,0.71,2.69,8.21,2.58,0,29.7,54.7,0.86,18.51,3.78,1694.88,0,8.99,2.16,0,0,5.82,0,4.56,0,137.26,0,0.58,2.01,1.33,5.26
 96-106,0,0,0.91,18.86,11.58,2708.98,2.02,1.94,0,395.82,5.41,0,7.34,0,4.01,0.84,40.06,8.22,35.87,2.26,6.8,5.89,1697.89,1.4,11.04,5.84,0,0,13.11,3.39,8.5,0,74.19,0,1.16,8.3,2.06,34.65
108-118,3.95,0,1.57,27.29,8.47,1921.9,1.75,0.54,2.74,405.92,2.19,0,3.33,0,4.7,1.15,0,11.66,41.57,1.04,0.9,9.13,1944.5,1.84,10.88,0.89,0,6.87,7.7,0,5.9,0,74.78,4.31,0.47,6.98,2.5,21.83
120,0,0,0,80.07,4.11,2060.33,3.3,1.55,0,544.86,1.38,2.27,16.25,0,8.77,0,3.71,3.17,79.12,0,0,9.71,3842.38,3.48,12.92,2.84,0,0,1.07,0,4.15,0,94.17,12.35,0,14.73,0,36.21
