stage,axial,blastomeres,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.18,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.55,0,0,16.42,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.54,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.87,0,0.95,0,0,0,0,1.71,0,9.73,0,0.87,0,0,0,0.91,0,5.67,0,0,0,0,0
 24-34,0,0,0,0.69,0,0,0,0,0.83,0,0,0,0,5.17,0,81.34,0,0.72,0,0,6.67,0,0,14.91,0,0,0,0,0
 36-46,0,0,0,1.07,0,0.65,0,0,0,0,0,0,0,1.73,0,131.3,0,0,0,0,0,0,0,27.38,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.49,0,0,0,0,2.35,0,167.2,0,1.34,0,0,0,0,0,11.03,0,0,1.69,0,0
 60-70,0,0,1.76,0,0,11.08,0,0.89,0.87,0.66,0,0,0,8,0,310.43,0,0,0,0,0,0,3.95,50.06,0,0,0,1.94,0.69
 72-82,0,0,6.06,0.72,0,18.26,0,0,4.28,1.2,0,0.99,0,7.99,7.19,416.17,0,0.59,0,2.81,0,0,0,39.14,0,9.34,1.03,7,0
 84-94,0,0,1.14,3.72,0,39.34,0,5.77,1.49,4.29,0,0,0.56,1.19,16.22,285.5,0,0,0,0,3,0,0,11.79,0.9,2.52,0,20.46,0.62
 96-106,0,0,13.32,5.44,0.85,19.39,0,0,0,4.64,0,0,0,2.78,12.37,247.32,0,3.4,0,0,1.87,0,0,11.31,0,19.36,0,46.93,2.89
108-118,0,0,2.14,2.28,1.67,24.23,0,0,5.53,0,20.11,0.43,0,7.54,20.88,306.49,0.48,2.78,0,0,2.46,0,0,21.87,0,6.89,0,19.62,0
120,0,0,0,5.34,4.08,22.71,0,0,2.18,0,1.05,0,0,0,38.12,530.29,0,0,0,0,0,0,0,83.03,0,3.84,0,140.33,0
