stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,417.06,7432.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.36,0,0,0,0,0,0,0,0,0
  5-6,329.27,3849.77,36.89,0,0,0,0,0,0,0,0,48.35,0,0,0,0,0,0,0,302.18,0,0,0,44.12,0,90.08,0,0,0,0,0,0,0,0,0
  7-9,14.88,49.92,36.01,0,0,0,32.25,0,0,0,0,89.72,0,0,0,0,0,0,0,425.07,13.72,0,0,1565.39,0,0,32.24,0,0,0,0,0,0,0,0
 10-12,0,22.84,31.87,0,6.59,0,7.21,0,0,0,0,9.92,0,0,0,0,0,0,0,168.13,34.99,0,0,1714.34,0,0,0,3.57,33.19,0,67.93,0,0,0,0
 14-21,0,0,0,8.84,18.58,0,8.77,0,0,0,0.85,0,61.19,0,0,0,192.88,0,413.61,85.57,8.6,0,1.38,7.86,0,0,0,1025.11,0,13.38,957.77,7.33,0,0,0
 24-34,0,0,0,3.66,0,0,22.79,0,1.02,0,0,0,31.07,0,0,0,91.82,0,71.64,36.5,0,0.71,0,0,0,0.64,0,7.39,0,0,133.94,4.34,0,5.44,0
 36-46,0,0,0,0,0,0,10.73,0,11.24,1.7,0,0,42.91,0,0,0,96.02,0,17.68,16.2,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0.75,0
 48-58,0,0,0,0.89,0,0,31.07,8.18,19.65,3.85,0,0,37.73,0,0,0,133.96,0.38,5.22,78.91,0,0,0,0,0,0,0,0,0,1.46,0,5.18,0.61,0.49,0
 60-70,0,0,0,0.57,0,0,18.78,1.4,15.64,12.09,0,0,62.19,0,0,0,330.25,8.16,0,24.04,0,4.86,0,0,0,1.33,0,0,0,0,0,2.65,5.17,0,1.47
 72-82,0,0,0,0,0,0,18.69,0,40.86,5.39,0,0,41.26,0,0,0,340.81,7.69,2.62,38.16,0,0,0,0,0,0,0,0,0,0,0,2.25,18.03,0.59,2.84
 84-94,0,0,0,0,0,0,21.39,1.88,20.13,0,0,0,20.42,0,0,0,319.87,9.82,3.16,16.08,0,0,2.64,0,0,0,0,0,0,0,0,0,29.5,3.3,2.34
 96-106,0,0,0,0.88,0,0,12.56,0,13.98,0,0,0,26.22,0.69,1.05,0,226.35,1.32,0.89,29.91,0,0.59,0,0,3.62,3.92,0,0,0,0,0,0.63,6.13,1.25,4.77
108-118,0,0,0,0,0,0.5,13.1,1.06,19.52,0.47,0,0,11.2,0,0.79,0,247.1,13.75,6.3,13.01,0,0,0,0,3.85,0,0,0,0,0,0,0,2.82,0.54,3.51
120,0,0,0,5.29,4.24,0,8.64,0,41.66,10.59,0,0,19.07,0,0,5.66,265.32,4.25,11.11,20.56,2.33,0,0,0,17.57,0,0,0,0,0,0,0,12.39,0,2.7
