stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.45,0,0,0,399.93,0,0,0,3.57,3.53,0,23.39,0,0,0,0,0,0
 14-21,0,0,0,5.78,92.53,0,1.85,0,6.07,0,0,0.85,2.56,0,0,0,0,0,0,0,128.31,0,0,1305.48,135.32,0,0,0,33.78,0,6.19,0,285.32,2.74,51.64,5794.19,35.68,0,0,6.76,0,0
 24-34,0,0,0,11.52,16.93,0,6.89,0,82.04,73.55,2.34,0,1.15,0,0,0.92,0,0,0,1.94,1173.58,0,0,1660.63,174.52,0.77,0,0.69,0,0,2.39,0,8.09,0.92,4.72,582.72,46.95,0,0,23.78,0,2.35
 36-46,0,0,0,4.05,1.42,0,16.77,0,59.24,210.08,2.9,0,0,0,0,4.83,7.74,1.13,0,0,1600.12,1.31,0,1294.09,182.99,0,4.31,0,0,0,7.87,0,0,0,7.5,6.05,49.55,0,0,8.48,0,3.02
 48-58,0,0,0,2.6,0.9,0,43.06,0.66,39.88,279.84,8.39,0,0,0,0,0,0,0,4.36,3.1,2379.24,0,0,1192.15,265.02,0.88,0.64,1.45,0,0,0.86,0,0,0,0.58,3.6,73.71,0,1.02,2.85,1.8,12.27
 60-70,0,0,0,4.15,0,0,57.84,0,82,396.54,3.93,0,1.21,0,1.9,0,0,0,2.4,0,4235.29,4.03,0,1004.46,207.88,0,0,0.91,0,0,2.2,0,1.38,0,4.04,0,37.41,0,5.85,2.85,0,5.76
 72-82,0,3.22,0,32.53,6.02,0,324.87,4.04,83.15,579.93,22.29,5.27,0,0,0.69,0,1.09,0,3.56,0,7518.74,0.83,5.97,1432.55,479.44,0,1.37,0,0,2.61,7.4,0,0,0,1.5,0,66.15,2.84,6.88,43.74,14.31,1.88
 84-94,0,0,0,30.25,0,0,294.47,16.25,131.63,357.69,26.31,4.4,0,0.8,5.47,1.92,0,2.66,4.99,0,5701.89,2.96,4.8,1147.59,292.64,0,1.05,1.83,0,2.3,7.2,2.8,0,1.6,0,0,33.71,1.51,15.35,20.88,8.45,0
 96-106,0,0,1.61,34.36,21.96,5.41,331.06,4.71,153.02,464.23,36.25,9.93,0,0,7.73,0,0,19.87,13.12,0,6436.01,4.9,20.37,1077.46,490.12,0.57,3.12,2.86,0,4.1,7.42,0,0,5.16,3.12,0,15.14,1.41,31.92,35.26,3.93,3.12
108-118,3.02,0,0.49,34.2,8.06,1.87,187.53,5.73,236.64,332.74,43.11,1.47,0,0.61,2.58,3.3,8.8,6.98,5.74,0,7580.86,1.98,14.34,928.85,647.79,2.44,0.79,6.66,0,3.01,14.75,0,0,3.53,0,0,39.45,2.01,12.65,8.56,8.18,1.86
120,0,0,0,58.92,1.76,0,130.04,0,160.85,224.99,0,2.58,0,0,0,0,0,0,0,0,5856.33,0,8.33,689.5,671.54,0,0,0,0,0,1.39,0,0,0,0,0,1.19,0,18.92,7.2,5.15,0
