stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,iridophores,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,153.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.36,0,0,0,0,0,0,0,0,0,17.24,0,0,0,17.32,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,20.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.77,0,0,0,0,0,16.19,9.86,3.98,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.86,0,0,0,0,0,3.83,1.08,0,0,0,2.84,0,0,1.19,1.93,0,0,0
 24-34,0,0,0,0,3.94,0,0,0,2.72,0,7.04,5.1,0,0,2.44,0,0,0,0,1.54,0.79,0,0
 36-46,0,4.92,0,0,3.19,0,0,0,0,0.64,8.26,1.93,0,0,0,0,0.59,0,0,1.17,0,0,0
 48-58,0,0.61,0,0,2.66,0.42,0.48,0,0,0,11.5,1.87,0,0,0,0,0,0,0,3.56,0.5,0,0
 60-70,0,0,0,0,33.79,0.73,0.67,0,0,0.68,5.23,5.6,0,0,0.6,0,0,3.13,0,4.61,0,0,0
 72-82,0,0.71,0,0,43.55,0,0.93,3.21,3.55,0,11.55,0.58,0,0,2.03,0,0,0,0,0,0,0,0
 84-94,0,4.98,6.01,0,55.46,0,0,0,5.2,0,5.95,0,0,0,0.62,0,0,0,0,0,0,0,0
 96-106,0,0.81,0,0,145.22,0,3.81,0,0,0,4.23,2.7,0,3.48,2.09,0,0,1.99,0,0,6.41,1.72,0
108-118,0,0,0,1.78,209.61,0,1.06,0,1.64,0,3.76,0,0,0,0,0,0,0,0,0,0,0,2.09
120,0,0,0,0,497.61,0,20.07,0,0,0,5.74,0,0,0,1.28,0,0,0,0,0,0,0,0
