stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,xanthophores
  3-4,0,286.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.86,784.67,0,0,0,0,0,0,0,0,0,0,8.22,0,0,0,0,0,0,0,0
  7-9,15.07,19.45,32.38,0,0,42.69,0,0,0,5.14,0,0,348.34,11.51,0,94.08,0,0,0,0,0
 10-12,0,0,3.66,0,0,44.27,0,0,0,14.97,0,0,277,0,0,116.48,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2.08,0,0,0,0.96,0,0.93,0,0
 24-34,0,0,0,0,1.89,1.3,0,1.45,0,0,0,0,9.17,0,0.97,0,0,0.64,2.27,1.94,0
 36-46,0,0,0,1.37,0,9.59,0,0,0,0,1.9,0.72,8.01,0,0,0,0,0,1.33,5.34,0
 48-58,0,0,0,0,0,1.82,0,0,0,0,0.54,0,4.66,0,0,0,0,0,0,0,0
 60-70,0,0,0,2.56,0,2.33,0,4.63,1.75,0,1.91,0,1.62,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.21,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.59
 96-106,0,0,0,0,0,1.98,0,1.19,0,0,0,0.62,0,0,0,0,2.01,0,0,0,0
108-118,0,0,0,0,0,0,0,6.49,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,2.51,0,0,0,0,0,0,28.42,0,0,0,0,0,0,0,0
