stage,blastomeres,epidermis,eye,glial,liver,mesenchyme,mural.cell,muscle,neural,otic,spinal.cord,vasculature
  5-6,10.69,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.18,0,0,0,0,0,6.71,0,0,0
 14-21,0,0,0,0,5.87,0,0,0,3.6,0,0,0
 24-34,0,0,0,0,1.44,0.93,0,0,11.64,0,3.94,0
 36-46,0,2.38,0.61,0,0,5.86,0,0,13.56,0,2.9,0
 48-58,0,0,0.47,0,0,1.01,0,0,23.86,0,1.53,0
 60-70,0,0,1.89,2.88,0,4.43,0.88,0,72,0,4.68,0
 72-82,0,0,6.76,0,0,1.45,0,0,54.45,0,2.17,0
 84-94,0,0,1.68,0,0,8.44,0,0.75,56.63,0,0,0
 96-106,0,0,3.98,1.35,0,1.34,0,0,31.84,0,2.37,0
108-118,0,0,13.44,1.14,0,3.3,0,0,45.75,0.78,0,2.31
120,0,0,0,10.29,0,2.28,0,0,128.33,0,21.51,0
