stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,128.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.41,195.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,36.85,0,0,0,0,76.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641.85,29.77,0,0,50.1,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.19,0,0,0,0,53.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530.15,3.57,0,0,77.86,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.57,0,2.32,0,0,0,5.14,0,0,0,0,0,0,2.15,0,0,2.42,102.89,0,3.47,1.92,1.71,0,0,0,0,1.92,67.77,0,0,0,0,0
 24-34,0,0,0,0,0.65,0,12.36,0,0,0,5.61,0,0,0,0,0,0,6.83,0,0,3.52,492.13,3.5,2.23,2.82,0,0,2.28,0,1.13,0,107.01,0,0,0,0,0
 36-46,0,0,0.73,0,1.07,0,52.83,0,0,0,26.77,0,0,0,0,0,0,18.59,0,0.77,5.28,1103.85,0,3.41,0.65,0,0,1.71,0,0,0,293.66,0,0,0,0,1.28
 48-58,0,0,0,0,2.52,0,125.81,0,0,0,75.51,0,0,0,0,0,1.07,17.27,0,0,2.51,1011.35,0,0.98,4.82,0,0,1.84,0,0,0,263.68,0,0,0.6,0,1.97
 60-70,0,0,0,0,2.66,4.83,224.17,0,5.73,0,84.62,0,1.37,8.99,0,0,0,29.92,0,0,2.4,1243.23,1.31,2.02,0,0,0,1.5,0,0,0,261.01,0,0,0,0,0
 72-82,0,0,1.66,0,5.84,4.11,128.47,0,0,0.61,119.78,0,0.63,0.93,0,0,0,26.89,0,0,0,707.39,0,1.35,1.19,0,0,0,1.65,0,0,99.23,0.94,0.63,0,0,3.8
 84-94,0,0,0.73,0,1.83,2.06,102.75,0,0,1.28,84.65,0,0.92,0,0,0,0,24.19,0,0,4.18,518.17,0,2.35,0,0,0,0.65,0,0,0,102.04,0,0,1.78,0.75,0
 96-106,0,0,0,0,4.06,0,110.91,0,0,0,101.8,2.12,0,0,0.74,5.58,0,42,0,1.42,1.46,309.71,0,0,1.83,0,0,1.59,0,0,0,38.36,0,0,0,0,0
108-118,0,0,3.09,0.74,9.14,0,86.84,4.79,0,2.03,85.95,0.8,0.96,0.52,0,0,0,50.11,0,0,0,536.04,0,0.48,1.41,0,1.22,0,0,0,0,43.77,1.35,0,0,0,0
120,0,0,0,0,2.93,16.03,190.96,0,0,0,154.22,0,0,0,0,0,0,10.42,1.49,13.09,0,766.4,0,0,9.03,0,0,0,0,0,0,25,3.15,0,0,0,0
