stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.23,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.74,0,0,0,0,0,0,9.2,0,0,0,0,0,0,0,0,0,40.09,0,0,0,21.99,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7,0,0,0,0,0,0,1.85,0,12.26,0,0,0,0
 24-34,0,0,1.28,0,0,5.28,0,0,0,0,0,0,0,0,0,0,0,1.59,0,0.95,427.79,0,12.32,0.79,0,0,0,0,0,125.29,0,0.85,0,0.77
 36-46,0,0,0,0,0,68.91,0,0,1.3,0,0,0,0,0,0,0,0,0.77,0,0,1112.42,0,8.01,0,0,0,1.12,0,0,192.11,0,0,0,0
 48-58,0,0,2.08,0,0,238.96,9.75,0.69,32.62,0,0,0,0,11.64,0,1.92,0,10.03,0,2.04,1933.61,0,7.47,2.27,0,0,3.4,0,0,237.1,0,3.5,0,17.72
 60-70,0,0,19.46,0,0,723.59,3.13,0,35.39,0.85,0,0,0,0,0.77,0,0,11.37,0,0.82,3812.99,1.83,7.98,0.63,0,0,6.21,0,0,302.37,0,0,0,6.15
 72-82,0,1.7,4.76,1.29,0,882.51,2.82,0,39.86,1.38,0,1.79,0.53,0,0,2.52,8.68,22.04,0.76,0,2914.31,0,15.85,1.38,0,1.77,2.2,0,0,159.5,0,3.62,0,0
 84-94,0,0,13.99,3.26,0,534.05,0,0,23.13,0.86,0,0,0,0,1.07,10.67,0,24.84,1.06,0.82,1688.98,0,5.46,5.25,0,0,0.82,0,0,85.23,0.57,3,7.98,0
 96-106,0,0,4.67,0,0,516.11,0,0,13.68,1.02,0,4.04,0,9.71,4.05,9.08,0,10.87,0,0,1170.45,0,5.94,7.38,0,0,8.18,0,0,30.16,0,0,0,0
108-118,0,4.14,5.14,1.13,0.82,540.12,0,0,29.56,0.52,0,0,2.69,1.22,2.74,0,0,18.86,5.54,0,2053.82,0,2.5,21.53,0,0,1.23,0,1.48,32.69,0,0.55,2.22,0
120,0,3.99,75.14,1.35,2.02,1254.21,1.33,6.63,100.63,9.13,0,13.4,0,0,1.74,6.33,0,59.94,0,6.43,9775.85,0,71.54,20.49,0,0,5.47,0,0,131.96,0,0,0,0
