stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,vasculature
  7-9,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0,3.95,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.98,0,0,0,0,0,0,0,0
 14-21,0.96,0.92,0,0,0,0,1.02,0,0,0,0,0,0,0,3.38,0,0,0,0,1.01,0.87,0,0
 24-34,0,0.83,0,0,0,0,0,0.68,0,0,0,0,0,7.1,4.02,1.65,0.76,2.31,0,0,0,0,0
 36-46,0,0,3.02,0,0,0,0,0,0,0,0,0,1.68,0,7.44,0,0,0,0,0,9.97,0,0
 48-58,0.79,0,0.61,0,0,0,0,0,0,0,0,0,0,0,2.67,1.96,0,1.62,0,0,0,0,0
 60-70,0,0,1.07,0,0.79,0,0,0,0,0,0,1.32,0,0,6.42,0,0,4.46,0,0,0,0,0
 72-82,1.03,0,2.96,0,0,0,0,0,0,0,0,0,0,0,5.82,1.12,0,0,0,0,1.71,0,0
 84-94,2.79,0,0,0,0,0,0,0,0,0,0,1.99,0,0,0,0,0,0,0,0,0,0,0
 96-106,4.57,0,0,0,0,1.71,0,0,0,0,0,1.83,0,0,13.22,6.65,0,0,0,0,3.75,0,0.83
108-118,1.17,0,15.12,0,0,0,0,0.41,0.57,0.52,0.48,4.46,0,0,10.39,1.96,0.54,1.51,0.42,0,0,1.13,0.47
120,9.53,0,1.39,1.23,0,0,0,0,0,1.77,0,0,0,0,8.68,20.14,4.5,5.39,0,0,0,0,0
