stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,periderm,spinal_cord,vasculature,xanthophores
 10-12,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.92,0,0,0,0,0,0.85,0.9,15.67,1.39,0.87,2.19,0,0
 24-34,0,0,0,1.58,0.98,0.66,0,1.17,0.65,2.03,0,99.48,0,0,41.49,2.88,0.78
 36-46,0,0,0,0,1.16,2.95,0,0,0,5.51,0,23.78,1.09,0.81,12.11,0,0
 48-58,0,0,0,4.05,3.24,8.98,0,0,0,31.29,1.21,27.92,0,0,15.42,0,0
 60-70,0,0,0,0,1.06,9.24,0,0,0,2.92,0,6.54,0,0,1.22,0,0
 72-82,0,0.72,1.02,4.5,0,6.61,0,0,0,71.46,0,16.45,0,0,7.15,0,0
 84-94,0,0,0,0,0,5.28,0,0,0,12.24,0.68,2.32,0,0,0.95,0,0
 96-106,0,0,5.3,0,2.03,3.79,0,0,0,8,0,0.83,0,0,0,0.85,0
108-118,0,0,0,0,0,7.66,0,0,0,12.53,0,0.99,0,0,0,0,0
120,0,0,0,0,2.41,10.3,3.75,0,0,39.83,0,9.91,0,0,0,0,0
