stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.74,0,3.47,0,0,1.07,0,0.94,11.33,0,0,0,0,0
 24-34,0,0,0,6.04,0,0,0,0,0,0,4.65,0,0,0,0,1.62,0,0.63,305.03,0,0.78,0,0,0,0,0,135.08,0,0,0.96,0,0
 36-46,0,0,0,27.02,0,0,0,0,0,0,1.45,0,0,0,0,1.85,0,0.91,758.89,0,8.05,0,1.32,0,0,0,175.38,0,0,0,0,0
 48-58,0,4.59,0,47.88,0,0.52,1.55,20.92,4.17,0,26.94,0,0,0,3.07,12.6,7.07,1.6,1429.07,0,3.1,0,2.79,0,0.9,0,192.75,0,0,0,0,0.63
 60-70,7.57,4.06,0,233.11,1.88,13.93,0,41.68,0,0,22.3,0,0,0,11.16,7.9,0,0,2573.58,0,11.14,1.24,0,0,0,0,313.56,0,0,0,0,3.74
 72-82,0,13.3,21.18,408.22,0,0,0,38.97,1.61,0.66,25.72,0,0,0,8.68,31.63,1.42,0,2283.19,0,14.83,1.36,0.61,0,0,0,271.87,0,0.63,2.42,0,12.78
 84-94,0,3.23,7.09,395.05,0,1.3,0,48.2,0.98,0,36.7,0.67,0.58,8.91,0.72,16.94,0,0.98,1398.59,0,9.1,0,0,0,0,0,143.29,0.71,3.44,0,0.62,0
 96-106,0,10.11,0,423.85,0,0.9,1.28,36.18,0,1.6,28.06,3.42,1.6,0,0,23.52,1.68,0,1329.81,0,8.86,0.98,3.17,0,0,0,74.06,0,1.93,0.59,0,2.32
108-118,0,8.33,0.69,591.2,0,0.43,0,67.75,0.87,0,28.89,3.64,0,0,0,26.9,0,4.54,1750.44,0.78,31.49,0,0,0,0,0,89.53,1.35,0,2.53,1.03,0
120,0,4.24,0,576.9,18.76,4.64,0,174.17,0,0,34.87,1.92,0,20.28,0,47.96,0,1.13,4069.03,5.09,54.55,0,15.78,0,0,0,102.51,0,0,9.15,0,0
