stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,95.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0
  5-6,22.59,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.35,0,0,0,16.61,0,0,0,0,0,0,0,0,0,0,0,22.55,0,0,0,9.2,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,0,6.48,8.79,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.12,0,1.16,0,0,1.33,0,0,0,0,0,0,0,4.88,13.13,0,0,0,0,0,0.98,0,2.21,0,0
 24-34,0,0.83,0.61,0,0,0.72,0,0,0,0,0,0,0,0,0.65,0,0,17.39,0,1.42,0,0,0,0,0.61,0,0,0.98
 36-46,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,1.49,0,0,27.76,0,0,0,0,0,0,0,1.75,0,0.99
 48-58,0,0,0,0,0,4.63,0,0,1.87,0,0,0,0,0,0.85,0.37,0,11.98,0,0,0,0,0,0,0,5.27,0,0
 60-70,0,0,0,2.04,0,10.91,0,0.73,0.67,0,0,0,0,0,0,0,0,25.3,0,0.74,0,0,0,0,0,3.08,0,0
 72-82,0,0,0,0,0,0.97,0,0,0,0.84,0,0,0,0,3.35,0,0,13.34,0,0,0,0,0,0,0,1.95,0,0
 84-94,0,0,0,0,0,1.88,0,0,2.58,0,0,0,0,0,0.64,0,0.98,6.05,0,0,0,0,0,0,0,4.85,0,0
 96-106,0,0,0,0,0,7.36,0,0,3.04,0,0,0,0,0,1.46,0,0,7.58,0,0,0,0,0,0,0,9.97,0,0
108-118,0,0,0,0,1.87,8.21,0.86,0,0.88,0.47,0.74,0,3.75,1.68,4.57,0,0,4.95,0,0,0.61,0,0,0,0,2.83,1.36,0.83
120,0,0,0,0,0,3.38,0,0,0,0,0,4.16,1.08,0,0,0,0,21.42,0,0,0,0,0,0,0,0,0,0
