stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,78.6,1212.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.98,486.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.33,0,0,0,16.35,0,6.16,0,0,0,0,0,0,0,0
  7-9,91.42,20.14,0,26.95,0,5.98,0,62.31,0,0,0,0,0,7.98,0,0,0,0,0,0,0,0,0,0,0,813.64,116.26,0,0,304.96,0,0,6.96,0,0,0,0,0,0,0
 10-12,0,25,0,32.84,0,0,0,132.64,0,0,0,0,0,48.96,0,0,0,0,0,0,0,0,0,0,0,962.6,7.98,0,0,406.01,0,4.05,21.84,0,58.93,0,0,0,0,0
 14-21,0,0,0,0,41.32,0.81,0,17.72,0,0,0,8.29,1,3.58,0,0,2.69,0,0,0,0,18.85,0,0,20.23,218.38,13.45,1,0,3.68,0,22.27,0,20.34,2.16,16.84,81.39,0.96,0,0
 24-34,0,0,0.75,1.39,16.18,0.78,0,46.18,0,0,1.85,12.1,0,0,1.6,0,2.05,3.01,1.49,11.73,0.82,88.06,1.69,0,31.86,744.81,0.6,6.41,2.29,0,0,8.28,0,0,1.06,6.38,133.91,12.25,0,9.64
 36-46,0,0,0,0,10.27,0,0,99.67,0,9.3,0,15.33,0,0.59,0,0,12.86,0,0.57,0,0,116.49,0,0,22.18,591.17,1.23,1.59,0,0,0,5.32,0,0,0.63,0,123.62,3.67,0,0
 48-58,0,0,0,0,8.22,0,0,157.46,0,3.78,1.16,23.71,0,0,1,1.22,0,0.83,0,1.54,0,133.12,0,1.23,18.75,559.54,0,1.57,4.02,0,0,3.16,0,0,2.74,0,79.23,8.8,0,0.38
 60-70,0,0,0,0,11.66,0,0,155.33,0,0,7.26,18.04,0.95,0,0,1.01,1.69,2.09,1.69,0,0,137.48,0,3.89,11.5,467.49,2.09,3.49,4.66,0,0,3.77,0,0,1.17,0,37.74,3.53,0,8.92
 72-82,0,0,1.55,0,6.97,0,0,98.13,0,0.62,0.73,17.74,1.5,0,2.08,7.74,0,0,1.07,0,0,148.76,0,7.39,13.69,356.93,0,2.98,2.35,0,8.1,0,0,0,0.52,0,15.91,8.64,0,0
 84-94,0,0,0,0,5.39,0.68,0,64.94,0.91,0.66,1.12,14.65,1.38,0,0,2.91,2.16,0.62,0.56,0,1.55,152.01,0,3.29,5.73,172.77,1.05,1,5.06,0,0,0.55,0,0,0.58,0,7.71,12.55,1.25,0
 96-106,0,0,0,0,8.31,2.8,1.67,56.46,0,0,0,9.93,3.91,0,0.73,1.69,0,0,0.63,0,0,158.67,1.52,11,8.04,192.73,0,2.79,5.1,0,3.05,3.77,0,0,0,0,13.08,5.8,0,0
108-118,0,0,0,0,12.46,1.03,0,49.77,0.54,1.17,1.7,13.77,4.2,0,1.02,3.81,0,1.06,2.17,0,1.73,167.39,0,11.52,12.33,269.68,0,3.4,1.57,0,1.97,3.67,0,0,1.49,0,5.83,3.23,0,0
120,0,0,0,0,9.34,0,2.68,61.71,0,3.39,4.44,31.27,0,0,0,4.61,0,0,8.7,0,0,130.91,0,0,21.03,348.89,0,4.89,2.43,0,0,0,0,0,0,0,13.58,9.53,0,0
