stage,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,32.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.61,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.17,5.46,0,0,6.54,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.93,0,0,0,52.04,1.08,0,0,0,0,0,6.58,0,0,37.02,14.83,0,0,6.9,0,7.03,1.17,1.09,302.67,0,0,0,0
 24-34,0,0.76,0,5.66,0,0,0,109.38,0,0,0,0,0,0,15.72,0,2.01,102.04,0.9,0,0,0,0,0,0,2.89,436.83,0,1.09,0,0
 36-46,0,0,0,4.2,0,0,0,87.11,0,27.45,0,0,0,0,3.25,0,1.81,115.8,0,0,0.75,0,0,0,0,0,395.19,0,0,0,0
 48-58,0,0,0.69,27.93,0,0.41,2.63,152.67,0,0,0,0,6.71,0,1.25,0,0.42,131.17,0,0.78,0,0,11.8,0,0,0,450.07,0.37,0,0,0
 60-70,0,0,0,29.75,0,8.13,0.89,346.58,0,0,0,0,0,0,6.04,0,1.15,52.35,0,1.23,0,0,0,0,0,0,363.44,0,0,0,0.91
 72-82,0,0,4,27.84,0,0,0.58,395.09,0,0,0,0,0,0,7.17,0,1.48,40.9,0,0,1.39,0,0,0,0,0,293.79,0.81,0.83,0,0
 84-94,0,0,1.03,16.72,0,0,2.05,228.71,0,0,0,1.7,3.03,0,11.94,1.23,1.32,32.36,0,0,1.52,0,0,0,0,0,255.06,0,0.64,0,0
 96-106,0,0,6.79,16.69,0,0,3.66,356.4,0,2.81,0,0.95,1.3,0.58,1.42,1.1,0,57.72,0.81,0,2.69,0,7,0,0,0,403.96,0,0,0,0
108-118,0,0,8.44,11.33,1.13,0,1.66,347.75,0,1.02,0.52,1.64,0,0,9.01,0,1.76,37.9,1.05,2.33,2.07,0,1.3,0,1.13,0,309.27,1.09,0.52,0.94,0
120,0,0,21.47,22.6,0,1.51,3.89,650.85,0,8.41,0,0,0,0,14.55,0,0,85.21,13.99,0,0,0,0,0,0,0,357.14,2.2,2.73,0,0
