stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,55.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.68,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0,0,0,0,8.9,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.38,0,0,0,19.72,0,0,0,0.92,2.13,0,0,26.87,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,33.74,0,0,0,0,1.87,0,0,36.76,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,3.93,0,0,0,8.06,0.59,0,0,0,0,0,0,18.14,0.81,0,0,0,0
 60-70,0,0,0,0,11.45,0,0,46.42,0,0,0,9.88,0.59,0,0,0,3.71,0,0,41.02,0,0,0,0,0
 72-82,0,2.14,0.96,0,11.15,0,0,106.94,0,0,0,20.86,1.21,0,0,0,28.21,0,0,26.23,0,0,0,0,0
 84-94,0,0.66,0,0,14.22,0,0.78,251.2,0.78,0,0,10.53,2.88,0,3.12,0,23.09,0,1.35,57.84,0,2.89,0.92,0,0
 96-106,0,4.19,2.29,6.02,38.93,1.88,5.35,374.31,0,0,2.59,61.79,8.06,0,4,0,50.24,3.99,1.78,43.85,0,0,0,0.65,1.85
108-118,0,3.19,5.21,0.99,29.93,0,1.57,466.8,0,0.59,0,87.69,4.43,1.06,0,0,63.36,0,4.14,42.78,0,0,3.65,0.87,0
120,0,0,6.75,2.67,19.44,0,4.45,196.23,0,0,0,56.46,3.29,0,0,0,61.55,0,1.89,34.41,0,0,0,0,0
