stage,endoderm,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,6.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.63,0,0,0,0,0,0,0
 10-12,3.95,6.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0.98,7.69,0,0,0,0,0,5.87,0,0,0,0,0
 24-34,0,0,7.35,0.72,0,0,1.55,0,0,0,0,0,8.01,0,8.48,10.12,0.63,0,0.99,0,0,0,0.75,0,1.04,0,5.21
 36-46,0,0,5.71,0,0,6.62,0,0,0,0,0,4.21,7.42,0,2.62,12.52,0.91,0,0,0,0,0.71,0,0,3.09,0,0
 48-58,0,0,5.62,0,0,0,0,0.55,0,0,0,0,17.98,0,3.11,2.15,0,0,0,0,0.45,0,0,0,1.36,0,0.92
 60-70,0,0,18.33,0.93,0,0,0.91,1.09,0,0,0,0,29.6,1.7,2.47,2.18,0,0,0,0,0,0,0.92,0,2.44,0,7.63
 72-82,0,0,7.25,0,0,0,0,1.81,3.44,4.18,0,0,21.38,0,0.95,2.1,0,0,0,0,1.05,0,0,0.73,2.19,1.22,9.47
 84-94,0,0,19.65,0,0,0,0,0,2.31,0,0,0,15.53,0,0.66,0.94,0,0,0,0,0,0,0,0,5.58,0,0
 96-106,0,0,26.58,3.55,0,0,0,1.84,1.05,0,0,0,17.53,0,3.97,0,0,0.86,2.52,0,4.54,0,0,0,3.57,1.49,9.94
108-118,0,0,9.56,0.88,0.7,0,2.75,0.69,6.46,1.64,2.33,0,23.96,1.35,0,10.14,0,0,0,0,1.28,0,0,0,0,0,4.58
120,0,0,10.96,0,0,0,6.93,0,2.32,5.67,0,0,17.4,0,0,3.56,0,0,0,0,0,0,0,0,5.77,0,0
