stage,axial,blastomeres,endoderm,eye,neural,paraxial_mesoderm,periderm
  3-4,0,97.52,0,0,0,0,0
  5-6,6.19,14.71,0,0,0,0,10.12
  7-9,0,4.44,34.17,14.83,427.75,24.77,3.33
 10-12,0,6.56,13.37,7.22,830.76,44.75,21.57
