stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,11.6,753.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.52,0,0,0,0,0,0
  5-6,10.76,528.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.02,0,0,0,12.15,0,0,0,0,0,0,0
  7-9,8.77,0,0,0,0,0,8.01,0,0,0,0,0,0,0,0,0,0,0,0,37.78,5.34,0,0,12.8,5.4,5.15,0,0,0,0,0
 10-12,0,0,0,4.52,0,0,8.28,0,0,0,0,6.61,0,0,0,0,0,0,0,30.83,0,0,0,4.07,17.4,0,0,0,0,0,0
 14-21,0,0,0,0,1.21,0,0.89,0,0,0,0,0,2.27,1.61,0,0,0.97,0,0,0,0.83,0.92,0,0,16.5,1.27,1.15,0,0,0,0
 24-34,0,0,0,0.84,1.53,0,1.43,0.85,0,0,1.02,0,0,10.27,1.49,0,0,4.79,0,26.72,1.42,5.17,0.66,0,21.42,0,18.05,2.14,0,0.64,0.61
 36-46,0,0,0,1.4,13.13,0,0,0,0,0,1.47,0,0,6.39,1.18,2.63,0.84,3.24,0,49.29,1.82,8.6,0,0,40.65,0,18.77,0.97,0,0,1.64
 48-58,0,0,0,0,5.41,0,1.03,0,0.56,1.74,1.71,0.57,0,14.47,0.56,1.34,0,14.8,0,45.76,1.93,2.43,1.57,0,17.29,0,8.75,0,0,0.9,2.6
 60-70,0,0,10.91,0,4.72,0,1.67,5.04,0,6.47,12.52,0.88,2.15,1.17,2.91,1.7,0.74,1.59,0,28.27,10.53,8.63,5.92,0,23.55,0,4.99,0,0,0,3.83
 72-82,0,0,2.86,0,2,1.74,12.51,0,0,12.15,15.56,3.6,1.11,0.66,0.72,8.04,10.42,10.76,1.04,32.18,0.5,4,2.78,0,10.08,0,8.64,0.86,5.3,1.21,8.56
 84-94,0,0,6.54,0,8.85,0,5.5,0,0,6.87,41.98,1.57,1.39,3.04,0,2.36,0,16.19,0,16.23,0,0,7.58,0,60.76,0,15.73,0,3.85,0,3.76
 96-106,0,0,8.25,0,12.82,1.1,16.17,0.59,0,18.42,33.31,0,4.24,6.99,0,9.9,2.31,18.31,0,6.2,2.12,3,0.85,0,68.81,0,6.58,0.68,5.07,0,4.45
108-118,0,0,3.68,0,15.51,0.56,9.6,0.6,0,10.85,42.31,0,4.38,5.23,1.86,4.96,3.47,12.71,0,17.07,1.4,0.59,0.41,0,28.19,0,4.81,0,4.13,2.45,0.55
120,0,0,4.32,0,31.34,0,0,7.48,0,4.84,49.65,0,0,1.65,3.46,15.45,19.61,15.75,0,30.43,0,0,11.55,0,45.02,0,5.97,0,9.16,0,0
