stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,lateral_line,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  5-6,9.66,10.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,7.13,0,0,5.86,0,0,0,0,0,26.2,0,0,8.47,0,0,0,0,0
 10-12,0,0,0,0,3.97,0,0,0,0,0,17.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.92,0,0,2.53,0,0,0,7.55,0,0.8,0,0.99,3.32,9.26,0,0
 24-34,0,0,0.88,0,0,0,4.63,0,1.88,0,9.39,4.03,0,0,0,0,6.29,0,0
 36-46,0,0,0,0,1.46,0,4.9,0,1.09,1.9,9.79,0,6.74,0,0,0,7.76,0,0
 48-58,0,0,0,0,2.63,0,4.66,0,1.51,0,4.85,0,1.22,0,0,0.38,10.89,0,0
 60-70,0,0,0,0,1.38,0,3.52,0.8,0.75,0,8.2,0.99,0,0,0,0,0,0,0
 72-82,0,0,0,0,9.75,1,0,0,2.27,0.51,5.89,15.72,0,0,0,0,1.65,0,0.6
 84-94,0,0,0,0,1.31,0,0,1.82,2.61,0,6.78,1.48,3.22,0,0,0,2.51,0,0
 96-106,0,0,0,0,0,0,2.6,0,0,0,6.15,0,1.24,0,0,0.82,1.78,1.48,0
108-118,0,0,0,0,0.51,0,2.14,1.04,0.89,0,3.14,2.01,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,3.86,0,0,0,2.15,0,0,0,0,0,0,0
