stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,immune,ionocyte,mucous,neural,periderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.85,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,1.37,0,0,0,0,0.45,0,0
 72-82,0,0,0,0,0,0,0.52,0.88,0,0,0,0,0,0,7.13
 84-94,0,0,0,0,1.76,0,0,3.65,0,0,0,0,0,0,0
 96-106,0,0,0,0.88,0.87,0,0,0,0,3.32,1.91,0,0,0,0
108-118,0,0,1.2,0,0,1.29,3.81,0.45,0.44,1.95,0,0.41,0,0.47,0
120,0,0,0,3.81,0,2.39,26.19,0,0,0,0,0,0,0,0
