stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,mesenchyme,mucous,neural,olfactory,paraxial.mesoderm,periderm,pgc,spinal.cord,visceral.smooth.muscle
  5-6,7.85,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,11.13,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,7.51,0,9.77,0,0
 14-21,0,0,1.27,0,0,0,0,1.11,0,0,0,0,1.19,0
 24-34,0,0,3.05,0,1.26,0,0,24.46,0,0,2.34,0,6.54,0
 36-46,0,0,0,0,0,0,0,57.2,1.83,0,0,0,6.29,0
 48-58,0,0,4.42,0,0,0.47,0,132.79,0,0,0,0,5.79,0
 60-70,0,0,35.38,0,1.41,1.36,1.09,177.2,0,0,0,0,18.71,0
 72-82,0,0,80.9,1.32,2.63,0,0,179.36,0,0,0,0,7.27,0
 84-94,0,0,51.59,0,6.41,0,0,76.14,1.13,0,0,0,8.92,2.93
 96-106,0,0,48.4,0,0.61,0,0,94.6,0,0,0,0,8.67,0
108-118,0,3.78,44.78,0,1.05,8.21,0,118.44,0,0,0,0,3.67,0
120,0,0,59.29,0,0,0,0,111.48,0,0,0,0,0,0
