stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  5-6,44.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.29,0,0,0,0,3.59,0,0,0,0,0,0,0,0,0,27.48,4.81,0,0,0,0,0,739.64,0,0,3.51,0,0
 14-21,0,4.03,1955.11,0.81,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0.9,6.52,0,0,0,0,0,1.93,0.86,0,1.96,2.72,4.45,0
 24-34,0,7.29,887.87,2.41,0,0,0,0,0,0,0,0.97,0,0.59,0.88,0,0,2.28,36.51,3.2,1.36,0,0,0,0,0,0,1.82,11.21,14.11,0
 36-46,0,0.98,262.98,0,0,0,1.75,0,0,0,0,0,0,0,2.04,0,0,0,24.56,0,0,0,0,1.68,0,0,0,0,5.03,1.52,0
 48-58,0,0,222.83,3.11,0,0,1.45,0,0,7.67,0,0,0,0,1.94,0,0,0.41,16.98,0,0,0,0,0.5,0,0,0,0,0.72,0.67,0
 60-70,0,0,125.22,2.3,0,0,0,2.06,0,1.16,0,0,0,0,6.49,0,0,3.62,5.57,0,0,0,0,0,0,0,0,0,5.04,0,0.7
 72-82,0,5.92,428.17,8.87,0,0,1.86,0,0,0,0,0,0,0,13.61,0,0,0,24.72,0,0,0,0,0.72,0,0,0,0,0,0,0
 84-94,0,13.18,444.74,0,3.24,0,0.55,10.12,0,0.87,0,1.1,0,0,5.6,0,0,3.13,7.31,0,0,0,0,0,0,0.7,0,0,0,0.57,2.11
 96-106,0,14.37,797.07,8.15,0,0.86,0,0,0,0.68,0,0,9.56,0,10.19,0.71,5.11,0.64,21.29,0,0,0,0,2.43,0,0,0,0,0,2.22,0
108-118,0,17.93,541.62,7.98,0,0,0,7.62,0,0,1.67,0,0.49,0,4.07,0,0,3.61,28.92,0,0,0,0,1.09,0,0,0.86,0,0,1.47,0
120,0,8.76,686.61,0,0,0,7.95,5.63,0,0,0,0,0,0,7.48,0,3.62,0,31.39,0,0,2.3,0,0,0,0,0,0,0,0,0
