stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  5-6,55.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.57,0,0,0,5.99,0,0,0,0,0,0,0,0,0,0,0,0,0,89.46,6.74,0,28.85,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.67,12.21,0,35.64,0,0,0,0,0,0,0
 14-21,0,1.44,23.66,1.09,0,12.9,0,0,0,0,0,0,0,0,0.85,9.86,0,0,9.87,84.83,0.95,0,0,0,3.62,2.8,23.46,12.08,0.96,0
 24-34,0,0.7,5.65,0,0,2.67,1.78,0,0,2.19,3.38,0,0.91,0,0,26.53,0,0,4.35,23.55,0,0,0,0,0,0,4.16,4.34,1.08,0.81
 36-46,0,0,7.31,0.75,0,10.51,10.54,0.75,2.11,0,4.09,1.67,0,0.85,0,15.73,0,6.41,1.18,58.97,0,1.96,0,13.66,0,0.56,0,4.75,0.68,0
 48-58,0,0,0.9,0,0,3.59,2.18,0,0.51,0,2.91,0,0,0,0,0.48,0,0,0.66,12.33,0,0,0,0,0,0,0,0,0,12.72
 60-70,0,0,0,0,0,0,0,0,0.57,0,1.33,0,0,0,0,1.61,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,2.24,0,0,10,0,0.5,12.91,0,4.49,3.49,0,0,0,7.25,0.58,0,0.71,42.3,0,0,0,0,0,0,0,13.67,10.01,0
 84-94,0,0,0,0,0,5.4,0,0,2.06,0,4.28,0.65,0,0,0,4.1,0,0,0,5.07,0,0.78,0,2.19,0,0,0,0,2.43,0
 96-106,0,0,0,0,0.59,0,0,0,0,0,2.28,0,0,0,0,3.41,0,0,0.93,0,0,0,0,0,0,0,0,0,1.55,0
108-118,0,0,0.41,1.12,0,2.77,0,0,0,0,0.6,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0
