stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  3-4,11.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,84.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.02,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.39,0,0,0,19.88,0,0,12.01,0,0,0,0,0,0
 14-21,0,0,0,9.91,0,0,1.71,0,0,0,0,0,0,0,0,0,0,0.92,0,0,1.73,2.45,0,0,0,0,0,0,0.9,2.8,0.9,0,0,0,0
 24-34,0,1.57,0.64,3.18,0,0,0,0,0,0.77,0.67,0,0,0.63,0.86,0.69,0,5.04,0,0,1.15,9.63,0,29.95,0,0,0,0,0,0,1.67,3.78,0,0,0
 36-46,0,0.73,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,2.17,0,0,0,11.64,0,36.49,0,0,0,0,0,0,0,14.72,0,0,0
 48-58,0,0,0,1.59,0,0,4.95,0,0.78,0.42,0,0,1.43,0,0.51,0,1.21,4.06,0,0,0,32.24,0,31.53,7.16,0,0,6.61,0,0.37,0,2.1,0,0,0
 60-70,0,2.1,0,0,0,0,3.03,0,0.84,0.86,3.34,0.9,0,0.71,2.21,0,0,6.98,0,0,0,74.61,0,28.27,1.23,0,0,0,0,0,0,0.6,0,0,0
 72-82,0,4.94,0,0,0,0,14.65,1.95,1.28,4.76,7.49,0,0,1.26,11.96,0,0,1.85,0.56,0,1.57,57.29,0,62.54,0.54,0,0,0,0,0,0,2.69,0,0,0
 84-94,0,7.72,0,1.7,0,0,9.32,0,0.57,1.83,14.67,0,1.16,3.42,7.55,0,0,0,0,0,0,20.67,0,21.18,0,0,0,0,0,0,0,1.07,0,1.4,0
 96-106,0,6.11,0,0.58,0,0,9.3,0,0,6.63,80.79,0,0.59,1.33,11.96,0,0,5.76,0,1.67,1.97,33.8,0,24.29,0,0,0,7.27,0,0.73,0,1.88,2.46,1.59,3.33
108-118,0,4.21,0,6.01,8.58,1.93,17.35,0,0,5.88,138.27,0.74,0.48,0.65,4.6,0.56,0,12.77,0,0,0,32.31,0.44,21.17,1.07,0,12.93,0.56,0,0,0,0,0,0,0
120,0,0,0,0,0,0,3.83,0,3.89,0,128.62,0,1.44,0,5.57,1.02,0,3,0,0,0,21.92,0,29.44,0,0,0,1.05,0,0,0,19.13,0,0,0
