stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,glial,gut,hatching.gland,ionocyte,lateral.line,liver,mucous,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord
  3-4,21.68,437.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.92,0
  5-6,17.54,209.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.63,0,0,3.21,0,0
 10-12,0,0,0,5.06,0,0,0,0,0,43.94,0,0,0,0,6.41,0,0,13.1,0,0
 14-21,0,0,0,0,0,0,0,0,0,6.38,1.92,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0.63,1.68,1.94,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.98,1.5,8.56,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32,1.5,0,0.42,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0.62,1.14,0.84,1.54,0,0,0
 72-82,0,0,0,0,0,0,0,0,1.55,0,0,0,0,9.59,0,0,11.94,0,0,0
 84-94,0,0,0,0,2.05,1.82,0,0,3.23,0,0,0,2.64,12.5,6.46,2.57,15.17,0,0,0
 96-106,0,0,0,0,0,2.13,2.68,1.69,7.12,0,0.7,0.65,0,10.48,0,4.49,3.7,0,0,0
108-118,0,0,1.15,0,0,15.56,0,0,16.2,0,0,0.6,0,2.83,2.89,3.04,11.2,0,0,0.71
120,0,0,0,0,0,0,0,0,10.08,0,0,0,0,30.16,0,3.07,2.98,0,0,0
