stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,14.84,16.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,95.75,0,0,0,0,0,0,0,0,0,0,0,0,0,43.93,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,4.21,0,0,0,0,0,23.72,5.33,0,0,4.61,0,0,0,0,0
 10-12,0,0,3.95,0,0,0,0,0,0,18.24,0,0,0,0,0,39.33,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.87,2.15,0,0,0,1.35,0,0,0,1.22,0,1.82,10.76,1.61,0,0,0,0,1,5.19,0,0
 24-34,0,0,0,2.47,0,0.98,0,0,0,0,0,0,1.38,0,0.89,17.58,0,0,0,0,2.31,0,4.66,0,0
 36-46,0,0,0,1.05,0,1.68,0.88,0,0,0,0,0,2.4,0,0.82,52.79,0,0,0,0,0,0,10.91,0,0
 48-58,0,0,0,0,0,3.8,0,0,5.82,0,0,0,2.95,0,0,36.56,0,0,0,0,0,0,9.25,0,0
 60-70,0,0,0,0,0,13.61,0,0,3.1,0,0,0,1.31,0,0,31.72,0,0,3.63,0,0,0,10.53,0.9,0
 72-82,0,0,0,0,0,7.31,0,0.68,10.32,0,0,0,7.09,0,0,50.29,0,0,0,0,0,0,0.93,0,0
 84-94,0,0,0,0,0,3.38,0,0,6.23,0,0,0,2.45,2.45,0,32.29,0,0,0,0,0,0,4.08,0,0
 96-106,0,0,0,0,0,3.88,0,0,3.23,0,0.58,0,2.74,0,0,23.57,0,1.44,0,0,0,0,0,0,0.85
108-118,0,0,0,0,0,2.49,0,0.65,1.03,0,0,0,1.56,0,0,8.22,0,0,0,0,0,0,5.55,0,0
120,0,0,0,0,0,2.83,0,0,0,0,0,1.45,5.88,0,0,8.35,0,0,0,0,0,0,0,0,0
