stage,axial,blastomeres,epidermis,eye,glial,gut,hatching.gland,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,28.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.29,51.07,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.24,0,0,0,0,0,8.49,0,0,0,0,0,0,52.55,0,0,0,24.64,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,32.41,0,0,0,18.58,0,0,7.62,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2.02,0,0,1.93,0,0,0,1.12,0.88,0,0,0,0.91,0,0,0
 24-34,0,0,0.61,3.66,1.05,0,0,0,0,0.62,0,0,0.81,27.33,0,0,0,0,4.53,0,0,0,7.97,0,5.27,0
 36-46,0,0,0,1.64,0,0,0,0,0,0,1.75,0,2.74,8.47,0,0,0,0,1.03,0,0,0,2.63,0,0.91,0
 48-58,0,0,0,4.9,0.61,0,0,0,0,0,7.02,0,0,22.66,0,0,0,0,1.05,0,0,2.5,4.95,0,0,0
 60-70,0,0,0,2.04,7.61,0.95,0,0,0,0,4.78,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,0.79
 72-82,0,0,0.67,1.83,0,0,0,0,0,0,6.1,0,0,8.61,0,0,0,0,0,0,0,0,4.16,0,0.65,0
 84-94,0,0,0,5.31,6.74,0,0,0.59,0.69,0.86,6.98,0,0.59,5.77,0,0,0.66,0,2.28,0,0,0,1.9,0,0,0
 96-106,0,0,1.98,1,3.83,0,0,0,0,0,5.82,0,0,5.06,0,1.07,0,0,0,1.35,0,0,0,0.78,3.61,0
108-118,0,0,3.13,2.88,5.01,0,0,0,0,0,14.93,2.75,3.25,6.43,0,0.42,0,0,0,0,0,0,0,0,0,0
120,0,0,0,3.66,16.68,5.27,0,0,0,0,11.38,0,0,12.64,1.17,0,0,0,0,0,0,0,0,0,0,0
