stage,epidermis,eye,mesenchyme,muscle,neural,periderm,spinal.cord,vasculature
 24-34,0,0.59,0,0.78,1.41,0,0.79,0
 36-46,0,1.06,0,0,0,0,0,3.83
 60-70,0,0,0,0,0,0,0,1.08
 72-82,0,1,0,0,0,0,0,0
 84-94,0,1.65,0,0,0,0.98,0,0
108-118,0,0,1.06,0,0,0,0,0
120,7.26,0,0,0,9.12,0,0,0
