stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,38.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,35.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.54,10.97,0,5.08,0,0,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440.22,0,0,0,13.31,0,0,0,0,0,0,0,0,0
 10-12,0,16.11,0,0,0,0,63.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500.26,6.85,0,0,140.68,3.1,18.16,0,10.64,0,0,0,0,0
 14-21,0,0,0,0,37.09,3.82,8.45,0,0,0,102.76,1,0.81,0,0,0,1.07,0,0,2.35,0,0,0,1114.41,6.94,6.75,22.65,0.86,0,18.56,3.3,687.13,0,0,0,0,1.85
 24-34,0,0,0,0,4.54,1.55,1.53,0,0,0,202,0,0,0,0.68,0,19.47,0,0,2.73,0,0,0.68,742.32,0,56.31,6.91,0,3.82,2.93,1.33,588.54,0,0,0,0,0
 36-46,0,0,0.94,0,4.1,0,6.82,0,0,1.12,93.95,0,0,0,0,0,0.56,0,2.96,0.62,2.36,0,0,338.15,0,71.58,0,0,10.26,0,0,319.33,0,0,0.87,0,0
 48-58,0,0,0,0,0,0,88.42,0,0,0.62,113.53,0,0,6.01,3.44,0,3.97,0,0,1.86,2,0.9,0.66,122.57,0,61.57,2.89,0,0,0,0,193.53,0,0,0,0,0
 60-70,0,0,0,0,2.86,0,312.71,0,0,0,66.09,0.64,0,0,0,0,14,0,0,2.88,3.29,0,0,181.27,0,66.72,2.11,0,0,0,0,119.36,0,0.71,0,0,0
 72-82,0,0,0,0,0.6,8.11,216.69,0,0,0,61.63,0,0,0,0,0,4.82,3.49,0,6.6,6.41,0,0.71,149.4,0,95.75,6.01,0,0,0,0,59.47,8.11,0,0,0,0
 84-94,0,0,1.82,0,4.06,0,152.26,0,0.9,0,59.55,4.83,0,0,0.59,7.61,8.37,0.96,0,0.62,5.56,1.17,0,144.96,0,47.59,24.04,0,1.37,0.7,0,45.12,10.92,0,5.92,0,0
 96-106,0,0,10.63,0,0.85,11.22,166.16,0,0.69,0,67.63,9.8,0,0.84,0.59,0,10.55,0,0,21.41,8.59,4.02,0,107.8,0,98.35,29.44,0,2.88,0,0,77.98,17.03,0,0,2.57,0
108-118,0,0,1.52,0,2.22,0,221.61,0,0,3.03,93.84,5.61,0,0,2.64,0,6.15,0,0,5.25,4.14,0,0,142.09,0,84.24,18.55,0,2.07,0,0,46.49,48.53,0,1.49,0,0
120,0,0,9.52,0,1.07,0,111.29,2.36,0,0,46.47,1.26,0,0,0,0,9.84,0,0,11.95,0,0,0,190.32,0,85.52,19.62,0,0,0,0,11.16,14.72,0,0,0,0
