stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.61,207.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,139.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.83,0,0,0,0,0,0,0,0
  7-9,8.92,9.28,0,20.51,0,0,0,26.19,0,0,0,0,0,7.12,0,0,0,0,0,0,0,0,0,0,0,272.03,4.44,0,0,53.09,0,0,0,0,0,0,0,0,0,0
 10-12,0,47.16,0,25.8,0,0,0,55.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.88,0,0,0,171.68,0,0,0,21.24,0,0,0,0,0,0
 14-21,0,0,0,1.95,5.89,3.83,0,6.93,0,0,0,0,0,0.96,0,0,0,0,0,2.09,0,1.89,0,0,6.82,31.81,2.67,0,0,1.04,0,0,7.7,0,11.05,9.26,0,0,0,0
 24-34,0,0,3.38,0,0.61,1.27,0,8.23,0,0,0,0,0,0,25.34,1.04,3.19,0,0,1.3,0.62,4.07,0,0,3.74,37.57,0,0,0,0,0,1.02,0,0.88,2.03,9.61,0,0,25.46,3.13
 36-46,0,0,0,0,0.91,0,0,4.07,0,0,0,1.81,0,0,23.75,0,0,0,0,0,0,3.46,0,0,1.3,15.5,0,0,0,0,0,0,0,0,0,6.98,0,0,26.98,6.81
 48-58,0,0,0,0,0,0,0,15.22,0,0,0,1.03,0.69,0,30.16,0.7,0,0,0,0,7.05,2.78,0,0.42,2.59,10.94,0,0,0,0,0,0.37,0,0,0,4.56,0,0,15.56,0.66
 60-70,0,0,122.98,0,0,0,0,11.51,1,0,0,6.77,2.4,0,12.29,0.6,0,0,0,8.58,0,5.79,0,0,0,22.76,0,0,0,0,0,2.99,0,3.68,0,3.79,0,0,41.15,0.77
 72-82,0,0,541.71,0,0,0.61,0,16.49,0,0,0.85,4.78,4.13,0,28.08,0.57,0,0,0,3.99,0,7.67,0,0,0,8.68,0,0,0,0,0,5.89,0,0,0,3.64,0,0.73,29.81,0
 84-94,0,0,1680.59,0,0,0,0,16.27,0,0,0,0,38.34,0,26.65,0.59,0,4.69,0,0,0.58,6.6,0.75,0,3.27,16.74,1.94,0,0,0,2.68,0.7,0,2.94,0,6.14,0,0,28.69,8.24
 96-106,0,0,8133.49,1.88,7,6.63,0.6,32.25,0,5.01,1.21,7.72,65.58,0,44.91,2.87,0.86,0,0.77,0,0,18.51,0,0,0,27.23,0,0,3.94,0,2.87,20.93,0,0,0,0,0.62,1.88,26.88,0
108-118,0,0,6612.74,1.06,4.18,5.64,1,36.97,0,0,0.72,3.51,142.87,0,26.56,0,0.5,0.63,0,5.71,1.42,17.78,2.84,0.69,0,47.83,0.98,1.48,1.01,0,0,5.15,0,0,0,0,0,0,28.42,4.17
120,0,0,474.93,0,3.37,16.82,0,4.43,1.58,0,0,23.04,169.21,0,52.52,0,0,0,0,20.74,3.89,11.35,0,0,0,50.85,5.58,0,0,0,0,8.43,0,0,0,0,0,0,62.16,3.15
