stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,10.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.26,77.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.44,0,0,0,0,0,0,32.67,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,9.77,0,0,0,0,0,0,0,0,0,0,25.86,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.65,1.44,0,0,0,0,0.85,0,0,0,0,0,0.91,0,0,0.82,1.76,0.9,1.19,0,0,1.06,0,0,0
 24-34,0,0,2.52,0,0,0,0,0,0,0,0,0,0.72,0,1,4.11,0,0,0,4.48,0,0,0,0.77,0,0,0
 36-46,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0.95,0,3.05,0,0,0,4.54,0,0,0,0.91,0,0,0
 48-58,0,0,2.37,0,0.99,0.39,0,0,0,0,0,0,1.26,1.22,0,2.77,0,0,0,11.91,0,0.42,0,5.28,0,0,0
 60-70,0,0,0,0,4.06,0,0,0,0,3.47,0,0,0,0,0,5.11,1.92,0,0,5.24,0,14.08,0,2.65,0,0,0
 72-82,0,0,0.52,0,0,0,0,0,0,0,0,0,2.32,0,0,10.43,1.05,0,0,0,0,74.87,0,0,0,2.32,0
 84-94,0,0,0.84,0,0,0,0.55,1.08,0,0,0,0.78,1.09,0,0,2.51,4.85,0,0,9.79,0,223.15,0,0,0,0,0
 96-106,0,0,0.83,0,7.78,0,1.72,0.89,0,0,1.18,0,3.8,0,1.64,4.91,0,0,0,7.48,0,288.75,0,0,2.7,0,1.59
108-118,0,0,2.66,0,0.57,0,0,0.55,0,0,0,0,5.98,0,1.27,11.28,0,0,0,3.3,0,390.34,0,0,0,0,0
120,0,0,0,0,3.63,5.46,9.34,2.42,0,0,0,0,5.28,0,0,18.85,0,0,0,5.7,0,277.72,1.32,0,0,0,0
