stage,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,somites,spinal.cord,vascular.smooth.muscle,xanthophores
 14-21,0,0.87,0,0,0,0,0,0,0,0,0,1.16,0,0,6.4,0,0,0,0,0,0,3.83,0,0
 24-34,1.07,0,0,0,0,1.73,0,0,0,0.99,0,0.9,0,0.78,7,0,0,0,0,0,1.41,3.07,0,0
 36-46,0,0,0,0,0,2.63,0,0,0,0.68,0,1.9,0,0.62,7.8,0,0,0,0,0,0,0.73,0,0
 48-58,0,2.42,0,0.45,0,4.1,0,0,0,0,0.41,3.32,0.79,1.31,24.46,0,0,0,0,0,0,0.62,0,0
 60-70,1.99,4.3,0,0,0,1.42,0.63,0,0,0,0,4.93,0,0,2.91,0,0,5.4,0,1.74,0,0,0.69,0
 72-82,3.9,0,0,0,1.31,0.52,0,0,0,0,0,2.93,3.02,0,0.8,0,1.26,0.68,1.82,0,0,4.99,0,0
 84-94,0,0.59,0,0,0,0,0,1.22,0,0,0,2.64,0,0.68,7.22,0,0.6,0,10.51,2.01,0,1.42,0,0.61
 96-106,2.79,2.05,0,0,0,0,0.69,0,1.12,1.08,0,5.37,0,0,7.41,0,0,0.62,0,2.85,0,0,0,0
108-118,1.08,2.37,2.21,0,0,7.11,0.85,0,0,0,1.15,16.6,0,1.65,1.11,0.59,0,0,0,1.22,0,0,0,0
120,1.84,0,0,0,0,2.03,0,0,0,0,0,0,0,0,1.84,0,0,2,0,0,0,0,0,0
