stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,221.94,4449.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.14,0,0,0,0,0,0,0,0,0,0,0
  5-6,200.14,3055.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.96,18.98,0,0,7.98,0,59.93,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.33,42.77,0,23.03,0,6.96,0,51.43,0,0,0,0,28.21,0,0,0,0,0,0,0,0,0,0,0,850.41,58,0,0,289.93,0,7.54,8.64,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,65.64,0,4.67,0,28.62,0,0,0,0,74.99,0,0,0,0,0,0,0,0,0,0,0,334.82,31.28,0,0,104.4,0,10.48,0,0,0,0,9.11,0,0,0,0,0,0
 14-21,0,0,0,1.82,31.11,3.48,0,3.14,0,0,0,0.99,6.77,0,0,0,0,0,0,0,3.81,0,0,7.75,26.06,0,0,0.84,0,0,11.22,0,4.61,0,0,4.18,8.17,0,0,1.82,0,0
 24-34,0,0,0.84,2.04,27.44,0,0,0.66,2.05,0,1.69,0.74,5.16,0,1.61,1.73,0,1.97,0,2.43,9.82,0,0,7.79,53.4,1.26,0,1.42,0,0,43.63,0,0,0,0.65,2.71,8.2,0,0,0,0,2.64
 36-46,0,0,0,0,9.57,0.67,0,0.72,0.58,0,0.63,0,1.08,0,0,0,0,0,0,17.8,9.51,0,0,3.36,25.98,2.25,1.52,0.75,0,0,47.91,0,0,0,0,0,16.96,0,0.85,1.92,0,9.12
 48-58,0,0,0,0,7.42,0,0,3.43,2.15,0,0.9,0.64,5.1,0.59,0.52,0,0,0.44,0,4.59,10.25,0.42,0,1.99,21.8,0.5,0,0,0,0,32.41,0,0,0,0,0,3.89,0,0.85,4.07,0,6.88
 60-70,0,0,0,0,21.78,1.63,0,1.39,1.75,0,3.41,0,1.21,0.87,5.96,0,0,0,0,8.99,23.68,0.73,4.17,2.87,11.09,1.81,0,0,0,0,31.34,0,0,4.15,0,0,0.57,0,0,0.59,2.54,23.35
 72-82,0,0,0,0,3.32,10.71,0,12.81,0,1.89,3.22,0.58,0,0,0,21.55,0.93,0.61,0,0,29.67,2.17,1.68,1.68,9.65,0,1.05,6.81,0,1.4,16.85,0,0,0,0,0,8.31,0.8,0,16.99,0,9.92
 84-94,0,0,1.11,0,13.98,25.25,0,1.54,2.62,0,7.99,2.57,0.76,0,3.45,0,1.99,0,0.69,16.46,30.44,7.07,6.47,0.86,14.84,0,2.26,0,0,0,25.2,0,0,0,0,0,2.34,0,0,4.04,0,20.92
 96-106,0,0,0,0,13.12,18.03,0,6.71,3.28,2.73,5.34,4.71,1.06,0,2.8,0,0,0.94,2.44,3.06,25.59,0,5.03,2.86,27.37,0,0,1.8,0,0,47.02,0,0,0,0.82,0,0,1.1,4.89,4.05,3.08,1.09
108-118,0,0,0,0,12.89,18.32,1.61,5.1,8.09,1.23,4.91,3.79,0,0,3.85,0,5.93,4.41,3.36,0,27.78,0.7,6.47,2.04,18.08,0,0,0,0,2.86,25.49,0,0,0,0,0,0,1.85,0,0,0,4.19
120,0,0,0,0,16.69,10.34,0,10.19,1.16,1.44,13.27,6.93,0,0,6.97,0,19.07,2.05,0,4.02,47.29,3.01,0,0,10.64,10.9,5.7,9.8,0,0,6.72,0,0,0,0,0,0,0,0,0,1.59,0
