stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.89,6.34,24.45,6,0,5.44,0,0,0,3.82,2.79,0,0,0,2.09,0,0,0,18.48,0,0,16.07,118.88,2.21,0,0,2.3,0,5.17,16.38,0,0,24.36,51.97,0,0,0.99,0,0
 24-34,0,1.2,12.23,5.4,0,36.2,0,1.86,1.37,5.94,0,0,0,0,1.25,1.87,0,1.64,140,0.84,0,23.93,235.62,1.48,2.72,3.06,0,0,20,0,0,15.36,7.12,88.31,0,0,21.85,0,0
 36-46,0,0,7.72,0,0,71.97,0.83,3.99,9.01,12.16,0,2.78,2.1,0.67,1.01,0,2.08,0,197.95,0,0.88,35.3,302.23,13.52,1.54,0.71,0,0,15.99,0,0.79,30.2,0,89.3,0,0,12.01,0,0.67
 48-58,0,0.72,7.37,3.7,0,99.23,0.66,2.9,7.08,16.52,0,0.48,1.81,0.83,0.4,9.95,0,0,235.5,0,1.82,26.05,213.31,0,1.77,0,0,0,12.66,0,0,5.94,0,62.1,0,0.42,5.78,0,0
 60-70,0,0,12.46,5.41,0,117.25,1.17,9.56,6.31,12.68,1.28,0,1.47,0,0.62,0,0,2.98,207.73,0,2.78,23.75,158.29,0,0,0,0,0.82,3.34,0,0,1.72,0,26.55,0,0,8.88,1.6,0
 72-82,0,0,14.81,11.21,0,89.13,0.88,0,9.95,33.29,0,0,1.73,0,5.18,0,0.91,6.97,377.12,0,2.68,14.84,140.67,0,1.18,1.48,0,1.4,4.61,0,0,1.68,0,16.62,0.81,1.4,14.82,7.3,13.65
 84-94,0,0,7.21,25.19,0,80.58,1.38,1.14,3.24,13.08,2.45,0,0,3.83,1.55,0,0,1.81,292.62,0,8.56,22.16,95.06,0,2.79,2.16,0,2.3,4.48,0,1.68,0,0,16.82,0,0,18.37,7.54,0
 96-106,0,0,15.61,29.16,0.8,44.81,0,3.07,2.68,26.56,5.5,0,0.76,5.15,0,0.74,0.79,4.28,251.84,1.27,6.5,6.15,78.31,0,1.62,0.68,0,2.9,11.96,0,0,0.82,0,10.52,1.02,1.44,14.13,3.68,1.13
108-118,2.91,0.74,9.89,20.12,1.25,11.44,1.16,8.3,8.22,11.2,3.15,0,2.36,2.91,2.33,1.46,1.44,0,310.54,0,3.14,3.77,108.98,0,0.48,1.89,0,3.45,10.28,0,0,0,0,2.65,0,0,12.95,3.55,1.93
120,0,0,27.35,26.52,0,29.84,0,0,5.89,42.18,3.96,5.2,0,4.73,0,0,2.53,0,285.96,0,0,21.53,101.62,0,0,0,0,0,8.07,0,0,0,0,6.92,0,2.68,36.04,4.16,1.64
