stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,30.79,232.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,51.84,690.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.88,33.96,11.14,0,0,0,63.26,0,0,0,0,3.81,0,0,0,0,0,0,0,564.83,15.43,0,0,156.57,0,0,0,0,0,0,0
 10-12,0,5.04,7.54,0,0,0,22.51,0,0,0,0,3.1,0,0,0,0,0,0,0,310.86,0,0,0,139.52,0,0,53.21,0,0,0,0
 14-21,0,0,0,2.7,0,0,1.71,0,0,1.75,0,0,0,0,0,2.44,0,0,6.46,14.57,0,0,0,0.81,6.97,7.94,0,4.33,9.61,0,0
 24-34,0,0,0,0,0,0,0.61,0,0,1.07,0,0,0,0,0,0.85,0,0,0,4.22,0,0,0,0,0.88,0,0,0,2.95,0,0
 36-46,0,0,0,0,0,0,2.94,1.41,0.71,1.08,0,0,0,0,0,0.81,0,0,1.12,8.68,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,2.44,0,0,1.31,0,0,0,0.97,0,1.28,0,0,0.91,16.78,0,0,0,0,3.74,0,0,0,3.66,1.05,0
 60-70,0,0,0,0,0,0,3.01,0,0,1.93,0,0,0,0,0,0,0,1.46,1.93,5.42,3.11,0,0,0,1.79,0,0,0,4.46,0,0
 72-82,0,0,0,0.63,6.54,0,1.82,0,0,2.52,0,0,0,0,0,1.41,0,0,0,0.62,0,0,0,0,1.72,0,0,0,4.59,0,0
 84-94,0,0,0,0.87,0,0,11.48,0,0,0,0,0,0,0,0,0.59,0,0,0,9.75,0,0,4.04,0,2.11,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0.59,0,0,1.88,0,0,0,0,0.67,0,0.68,0,0,10.52,0,1.03,0.6,0,3.11,0,0,0,0,0,0
108-118,0,0,0,0,0,1.27,2.6,0,0,1.27,0.56,0,0.52,0,0,0,0,0,0,12.48,0.69,0,0,0,10.23,0,0,0,0,0,1
120,0,0,0,1.2,0,0,2.05,0,0,0,2.35,0,1.95,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0
