stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle
 10-12,0,6.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.25,0,0,1.11,0,0,0,0,0,0,0,18.73,0,0,8.22,0,0,0
 24-34,0.67,0,0,0,1.29,0,0,0,0,2.08,0,0,1.66,0,0,65.42,1.63,0,10.9,0,5.85,0
 36-46,0,0,0,0,1.63,0,0,1.02,0,0,0,0,0,0,0,130.56,3.81,0,20.2,0,0,0
 48-58,0,0,0,0,13.57,0.62,0.41,0,0,0,0,0,0.41,0,0.47,155.81,2.64,0,22.62,0,0.43,0
 60-70,0,0,0,0,33.08,0,0,0.68,0,0,0,0.71,1.58,0,0,243.21,5.66,0,33.04,0,1.59,0
 72-82,4.05,0,1.48,0,43.37,0,0,4.85,0.85,0,0,0,0,0.61,1.22,143.44,3.23,0,22.81,0,1.23,0
 84-94,1.68,0,1.45,0.76,36.7,0,0,2.74,1.68,1.81,0,0,3.65,0,0,136.72,7.41,2.07,22.57,0,0,1
 96-106,0.81,0,2.71,0,31.94,0,3.4,0.99,0,0,0.83,0,3.88,0,0,121.02,8.99,3.62,1.39,2.08,3.58,0
108-118,0.93,0,5.58,0,10.96,0,0,1.53,3.4,0,0,0,1.52,0,0.51,123.49,4.8,0,3.98,0,0,0
120,0,0,0,0,12.37,0,0,4.08,0,0,0,0,9.34,0,0,136.36,16.58,0,18.28,0,0,0
