stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,6.04,0,0,0,0,0,0,0,0,0,12.74,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,9.72,1.72,37.58,0,0,0,0,0,0,0,0,0,0,1.83,0,3.59,22.47,0,1.55,0,2.39,0,0,0,1.9,0,0,1.8,0,0
 24-34,0.67,2.31,0,174.53,0,0,0,0,0,0,0,0,0,0,0,0,0,53.13,0,39.53,6.14,0,0,0,0,10.46,0,0,6.6,0,0
 36-46,0,0,0,329.67,0.62,0,0,0,0.93,0,0,0,0,0,12.05,0,1.4,87.8,0,51.28,0,0,0,1.06,0,5.31,0,0,20.96,0,0
 48-58,0.65,1.66,0,989.25,3.78,15.69,0,0,0,0,0,0,3.96,6.17,7.97,0,2.23,163.55,0,16.56,0,0,0,3.08,0,10.53,0,0,45.49,0,0
 60-70,0,2.37,0,2639.36,0,52.9,0,0,0,0,0,0,0,0,13.67,12.44,3.72,139.06,0,15,4.15,0,0.71,5.24,0.58,7.26,0,0,20.52,0,0
 72-82,0.53,10.96,2.26,3059.18,0.5,103.03,1.38,0,0,0,0.72,2.84,0,4.19,16.05,1.76,0,128.47,0,43.3,1.55,0,0,2.68,0,13.37,1.36,1.89,60.07,3.63,8.72
 84-94,0,4.23,3.44,2444.49,0,64.58,4.69,0,0,2.3,1.75,3.07,0,0,16.58,0.94,0,110.79,0,46.84,0.67,0,1.01,12.22,0,11.31,0,5.53,79.4,2.8,4.24
 96-106,0,14.65,3.61,1901.29,0,113.74,3.06,0,1.61,0,9.11,0,7.19,0,32.01,1.82,6.55,127.19,0,68.91,0,0,0,6.22,0,6.99,0,1.74,78.71,2.58,0
108-118,0,6.75,3.49,1983.19,0,119.63,0.49,0,0,0,1.03,0.43,0,0,11,1.04,0.48,205.45,0,42.31,3.93,0,18.85,0.44,0,0,0,2.05,45.17,1.28,0
120,0,16.88,1.9,1741.36,0,149.84,1.18,0,0,7.53,3.6,11.11,0,0,10.93,2.76,3.96,288.57,4.66,33.82,2.49,0,7.72,0,2.39,1.57,0,0,58.11,0,0
