stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  5-6,0,34.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.18,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,8.28,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.07,0,0,0,0,0,0,0,0,0
 14-21,0.89,0,0,2.19,1.72,0,0,0,0,0,0,0,0,1.39,0,5.1,6.26,0,0.83,0,0,6.85,5.23,0,0,109.51,5.04,1.15,0,0,0
 24-34,0,0,0,4.63,2.74,0,0,0.64,0,3.47,0,0,0.69,0,0,17.85,1.11,1.07,1.48,0,0,16.96,0.76,0,0,295.67,10.31,2.69,0,0,0
 36-46,0,0,0,0.84,3.34,0,0,1.82,0,0,0,0.83,1.84,0,0,5.06,3.15,2.35,2.55,0,0,6.55,0,0,0,317.75,0,2.28,0,0,0
 48-58,0,0,0,0,2.68,0,0,9.76,0,1.2,0,0.99,2.56,0,0,3.21,0.37,1.29,2.68,0,0,21.1,0,0,0,235.06,6.1,5.87,0,0,0
 60-70,0,0,0,0,10.69,0.71,0,5.93,0,2.11,0.88,1.01,3.31,0,1.76,3.77,7.57,1.87,5.95,0,0,8.85,1.19,0,0,238.01,5.09,1.43,0,0,0
 72-82,0,0,0.69,0,8.26,0,0,13.59,1.01,1.95,0,1.17,17.3,0,0,4.3,1.09,10.78,4.11,0,0.66,14.82,0,0,0,197.57,6.09,0,3.4,0.58,0
 84-94,0,0,7.36,0,19.5,5.3,10.19,10.07,0,0.74,0,0.73,44.31,1.3,9.14,16.13,9.54,20.42,7.3,0.58,0,35.28,0,0,0,563.48,3.79,3.53,0,0,0
 96-106,0,0,3.09,1.03,16.76,0,3.02,16.7,0,3.11,0,0,42.41,0,2.31,15.64,17.09,6.24,23.7,4.35,0.81,29.81,0,0,1.36,580.15,2.93,2.25,0,1.67,3.36
108-118,0,0,1.75,1.37,28.64,0,11.79,14.82,0,17.28,0,0,61.69,0,7.49,19.58,8.21,7.12,19.78,0,0,38.9,0,0,0,523.89,1.36,0,0,0,0
120,0,0,12.78,4.41,34.24,0,2.35,25.74,0,10.42,0,0,61.66,0,5.26,34.92,41.81,12.89,2.7,0,0,55.69,7.23,0,0,370.32,3.27,0,0,0,3.85
