stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,17.35,248.29,50.88,0,125.9,0,0,0,51.71,7.34,7.09,2.5,0,6.39,0,0,8,1.93,117.09,0,0,73.48,1674.43,45.1,7.88,12.18,45.93,0,24.03,2.17,188.9,11.5,4.51,108.91,479.42,0,3.87,0,0
 24-34,0.84,5.88,68.29,64.07,0,775.62,0,4.2,0,68.98,1.88,0,5.61,10.63,2.56,4.9,2.57,6.66,0,386.72,1.03,3.23,109.15,4697.66,7.15,25.99,42.35,0,0,69.25,0,1.22,0.93,0,23.21,850.59,0,78.34,0,11.06
 36-46,0,0,67.46,24.87,0,1679.83,0,0,1.17,73.25,1.33,0,3.88,5.51,0.59,5.36,1.72,5.21,8.29,328.59,0,25.76,89.32,3332.46,10.66,16.52,19.93,0,0,52.75,0,3.02,1.8,0,0,637.37,0,33,0,14.71
 48-58,0,0.83,62.33,19.63,0,1919.03,0,1.63,7.26,120.56,5.39,0,2.04,6.8,4.64,6.45,2.74,2.87,5.12,303.81,1.11,8.25,55.13,1705.97,5.36,4.57,21.62,0,0,13.43,0,0,0,0,0,202.8,0,20.07,0,3.28
 60-70,0,0,73.36,4.53,0,1355.98,0,1.25,0,93.59,16.15,0,0,7.79,0.67,4.4,8.24,8.73,0,292.47,0,32.77,37.42,892.51,13.61,10.16,6.83,0,0,8.82,0,0,0,0,0,62.94,0.74,20.17,0,0
 72-82,0,0,28.22,20.05,0,307.12,2.86,0.68,4.84,59.69,3.28,0,3.41,2.13,2.97,1.24,1.29,0.71,0,140.03,0.56,16.06,14.22,345.64,1.39,3.1,2.94,0,0,0.67,0,0,1.87,0,0,11.87,2.39,8.11,0,6.7
 84-94,0,0,39.31,13.71,1.62,282.85,0,0.56,1.9,45.27,18.33,0,0,13.68,4.36,0.66,4.04,0,0,188.19,0,12.12,23.88,308.92,2.83,9.24,5.28,0,0,6.78,0,0,0,0,0,10.72,3.99,37.86,0,7.62
 96-106,0,0,11.32,36.75,0.8,157.59,0,0,0,36.95,6.42,0,1.5,5.52,2.66,0.95,2.54,0,0,61.45,0,2.03,13.9,177.91,0.77,3.71,4.15,0,0,3.6,0,0,0.69,0,0,5.95,1.17,7.3,0.74,0
108-118,0,0,12.39,28.23,0.85,180.85,2.21,0.6,0.58,25.1,6.84,0,0,9.25,2.93,2.01,3.16,4.54,0,26.93,0,4.04,15.26,261.07,2.59,1.82,6.4,0,0,3.78,0,0,1.4,0,0,7.69,3.46,12.24,3.8,0
120,0,0,41.5,50.7,0,452.53,0,0,0,62.61,8.31,0,5.18,7.78,6.93,1.18,2.13,0,0,77.43,0,12.66,32.22,625.07,4.66,3.07,17.72,0,4.59,0,0,0,0,0,0,0,0,14.14,0,0
