stage,blastomeres,eye,hatching_gland,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,xanthophores
  3-4,32.47,0,0,0,0,0,0,0,0,0
  5-6,53.02,0,0,0,0,0,0,0,0,0
  7-9,10.39,12.17,0,0,95.15,6.61,24.59,0,0,0
 10-12,7.54,16.35,6.04,0,74.17,0,25.45,0,0,0
 14-21,0,1.13,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.49,0,0,0,0,0
 36-46,0,0,0,0,4.35,0,0,0,0.62,0
 48-58,0,1.2,0,1.51,6.47,0,0,0,0.44,2.82
 60-70,0,0,0,1.02,1.29,0,0,0,0,0
 84-94,0,9.31,0,0,3.2,0,0,0,0,0
 96-106,0,0,0,0.78,0,0,0,0,0,0
108-118,0,0.77,0,0,0,0,0,0.42,0,0
