stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.35,0,0,0,0,0,3.34,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,2.07,0,0,0,61.07,0,0,0,0,0,14.27,0,0,0,0,0
 48-58,0,2.64,0,10.59,0.61,0,0,2.68,0,0.53,0,0,0,0,2.96,0,0,0,288.09,0,0,0,1.49,1.55,68.7,0,0,0,0,0
 60-70,0,0,0,26.04,0,0,0,7.89,0,0,0,0,1.02,0,0.88,0,0,0,547.41,0,0,0,0,0,269.74,0,0,0,0,0
 72-82,0,2.56,2.7,103.57,0,0,0.93,13.48,0,0,0,0,0.92,0,27.45,0,0,1.02,1335.86,0,0,0,0,0,370.46,0,3.01,0,0,5.44
 84-94,0.86,2.16,8.02,78.42,0,0,0.84,10.78,0.97,0,0.64,0,0,0,8.66,0,0,0.73,1136.18,0.83,0,0,2.13,0,230.1,3.41,0,0,0,0
 96-106,0,6.37,2.45,114.37,0.95,0.64,0,13.47,1.04,0,0,8.5,0,3.61,9.12,0.76,0,0.61,1170.3,0,0,0,8.84,0,120.33,0,0.73,6.18,2.17,0
108-118,0,18.47,1.7,105.22,0,0,0.65,11.96,0,0,0,0,0,5.88,7.03,0,1.29,0,1945.49,0,0,1.66,0.44,0,129.47,2.26,0,0.55,0,0
120,0,14.75,0,100.66,0,2.28,0,39.72,0,0,0,0,0,0,14.9,0,0,0,2904.65,0,4.01,0,0,0,273.03,0,0,0,0,0
