stage,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord
  5-6,6.71,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.35,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,11.21,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.74,0,0,0,0,1.26
 24-34,0,0,0,0,0,0,2.36,3.2,0,0,0,5.71
 36-46,0,0,2.9,0,0,0,16.43,0,0,0,0,3.83
 48-58,0,0,5.91,0,0,0.5,11.97,0,0,0,0,1.8
 60-70,0,2.14,20.9,0,0,0,22.03,0,0,0,0,3.58
 72-82,0,0,10.96,1.78,0,0,15.11,0,1.23,0,0,4.81
 84-94,0,0,17.2,0,0,0,28.34,0,0,0.89,0,0
 96-106,0,0,10.59,0,1.86,0,9.98,0,0,1.72,0,0
108-118,0,0,9.15,0,0,0,5.35,0,0,0,4.19,0
120,0,0,2,0,0,0,8.52,0,0,0,0,0
