stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,20.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.05,46.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,8.63,0,0,0,0,0,3.47,0,0,0,0,0,0,0,0,0,0,0,100.98,3.84,0,0,50.68,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.07,0,5.23,0,0,22.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.1,0,0,0,30.36,0,0,0,12.34,0,0,0,0,0,0,0
 14-21,0,0,0,2.73,16.72,2.97,18.34,0,0,0,8.21,1,0,0.84,0,0,0,0,0,0,25.72,0,0,13.69,203.74,0.81,0.92,1.02,2.96,0,4.81,11.57,3.26,14.62,72.89,0,0,0,0,0
 24-34,0,0,0.81,1.98,6.05,1.27,50.13,0,0,0.72,7.93,0,0,1.23,1.83,1.82,0,2.09,0,0.67,32.8,0,0,15.01,543,7.06,7.49,2.73,0,0,4.24,0,0.79,9.34,139.55,0,0,25.47,0,2.21
 36-46,0,0,7.24,0,2.62,0,149.36,0,0,0.57,13.06,1.53,0,1.13,0,0,0.69,0,0,0,29.17,2.37,1.14,10.17,360.58,6.6,13.05,0,0,0,0,0,3.56,0,106.38,0,0,1.14,0,1.28
 48-58,0,0,2.02,0,7.47,0,256.02,0,0,0.93,24.63,0,0,1.53,0.42,0,0,0.56,0.63,0.58,53.22,1.66,1.79,5.71,454.29,0,9.81,0,0,0,0.86,0,0,0,57.47,0,0,1.63,0,1.16
 60-70,0,0,1.47,0,0.78,2.09,208.15,0,0.59,1.68,18.76,1.59,0,1.47,3.61,0,0,0,0.72,0,46.15,1.02,3.79,3.17,621.82,1.59,9.38,0,0,0,0,0,0,0,59.44,0.61,1.6,2.21,0.87,0
 72-82,0,0,0,0,7.94,2.24,176,0,0,2.22,43.67,4.49,0,0,5.31,0,0,1.27,0,0,67.22,0,0.77,2.78,507.73,0,12.28,1.27,0,0.8,0,0,2.23,0,35.81,0,0,1.11,0.68,0
 84-94,0,0,1.95,0,5.44,7.86,176.14,3.35,2.1,3.46,30.67,2.08,0,0,1.85,0.72,1.81,0,0,0,66.42,0,2.81,6.39,281.11,1.95,2.66,8.85,0,0,2.04,0,3.22,0,23.69,0.71,2.05,6.7,0,0
 96-106,0,0,0,0,5.81,5.31,178.82,0,0.62,4.67,24.41,0.96,0,2.23,6.72,0,0,0,0,0,49.12,0.71,0.69,1.64,312.16,0.83,20.73,0,0,0,1.32,0,0,0,6.89,3.85,5.07,1.58,1.17,0
108-118,0,0,1.04,0.61,6.09,4.08,235.4,0,1.99,2.21,39.01,1.54,0,0.43,5.24,0.42,0,1.29,0.94,0,57.41,0,0,8.24,403.36,0.41,6.17,8.75,0,3.18,1.37,0,0,0,22.08,0.9,0,10.59,0,0
120,0,0,0,0,22,3.52,216.82,0,1.5,7.16,29.53,0,0,0,1.14,1.65,3.33,0,0,0,69.24,0,0,7.43,928.42,0,17.46,0,0,0,0,0,0,0,8.17,0,0,21.06,0,3.64
