stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.15,0,0,0,0,0,0,0,0,0
  5-6,30.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,5.45,0,5.02,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.8,0,0,0,0,7.35,0,66.33,0,0,0,0,0,0,0
 14-21,0,5.42,81.72,0,0,0,0,0,0,0,8.52,0,0,0,0,7.55,0,0,2.28,11.23,15.66,0,0,0,0,5.97,0.85,0,10.72,1.66,0,0,34.15,0
 24-34,0,11.79,11.12,0,0,1.9,0,0,0,0,24.26,0,0,0,0,20.94,6.69,0,3.55,15.01,5.86,0,0,0.99,0,0,0,0,4.02,2.94,0,0,451.77,0
 36-46,0,4.68,4.4,0,1.91,0.69,1.32,0,0,0,1.51,0,0,0,0,10.04,0,0,0.72,19.1,0,0,0,0,0,0,0,0,0,5.3,0,0,524.01,0
 48-58,0,5.46,0,0,9.61,0,8.92,2.49,0,0,3.73,0,0,0,0,7.27,0,0.54,4.91,14.85,0.61,0,0,0,0.71,0,0,0,0,1.53,0,0.93,467.63,0
 60-70,0,4.16,0,0,1.36,0,5.38,0,0,0,2.5,0,0,0,0,1.38,1.27,3.42,10.67,35.6,0,0,0,0,5.23,0,0,0,0,0,0,0,612.63,0
 72-82,0,2.41,0,0,22.15,0,10.84,6.8,7.72,0,6.99,1.88,0,0,0,7.94,0,0,12.93,32.9,0,5.46,0,0,0,0,0,0,0,0,0,1.35,1417.25,0
 84-94,0,3.75,0,0,8.78,0,5.62,8.36,0,0,2.23,0,0,0,0,13.44,0,1.68,14.54,30.6,0,0,0,0,0,0,0,0,0,3.18,0,1.88,1289.9,1.09
 96-106,0,2.36,14.58,5.03,21.74,0,11.48,8.92,1.79,0,0.92,1.16,1.05,1.54,0,11.77,0,0,0,35.78,0,1.38,0,0,5.61,0,12.48,0,0,0,0,0,1341.14,3.33
108-118,0,7.42,0,0,38.58,0.85,21.67,8.93,4.14,0,0,1.26,0,0,0.64,8.77,0,1.16,0.9,12.19,0,0.42,0,0,0,0,8.27,0,0,2.04,0.9,0,1214.37,3.72
120,0,4.43,0,0,3.23,0,4.3,0,5.78,10.41,4.06,5.97,0,0,0,14.38,0,0,7.89,67.08,0,0,0,0,0,0,0,2.35,0,2.98,0,0,2045.29,1.05
