stage,axial,blastomeres,epidermis,eye,fin_mesenchyme,gut,ionocyte,mesenchyme,neural,olfactory,periderm,spinal_cord,vasculature
  5-6,9.58,56.2,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,5.29,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,3.86,0,0,0,0
 36-46,0,0,1.07,0.95,0,0,0,0,1,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,8.53,0,0,1.08,0
 60-70,0,0,0,0,0,2.72,0,1.11,10.64,1.95,1.48,0,0
 72-82,0,0,0,0,0,0,0,0.66,5.74,0.55,0,0,0
 84-94,0,0,0,2.68,0,0,0,0,0,0,4.2,0,0
 96-106,0,0,0,0,0,0,0,0,1.13,0,0,0,0.7
108-118,0,0,0,0,0,0,1.07,0,1.19,0,0.47,0,0
120,0,0,0,0,1.47,0,0,0,18.62,0,1.69,0,0
