stage,axial,blastomeres,eye,melanocytes,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,pronephros,xanthophores
  3-4,0,110.91,0,0,0,0,0,0,0,0,0
  5-6,13.42,41.45,0,0,0,9.55,0,0,0,0,0
  7-9,6.92,0,0,0,0,39.68,3.65,7.68,0,0,0
 10-12,0,0,0,0,0,30.56,0,44,0,3.99,0
 14-21,0,0,0,0,0,1.15,0,0,0,0,0
 24-34,0,0,0,1.63,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.93,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.83,0,0,0,0,0
 60-70,0,0,0,0,0,1.22,0,0,0,0,0
 72-82,0,0,0,0,0,2.23,0,0,0.55,0,0
 96-106,0,0,5.62,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.72,0,0,0,0,0,4.11
