stage,blastomeres,erythrocytes,eye,fast.muscle,glial,hatching.gland,immune,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,23.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.09,0,0,0,14.91,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,5.2,15.92,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.35,0,0,11.63,0,7.32,0,0,82.84,4.62,0.82,0,0
 24-34,0,0,0,0,0,0,0,2.72,6.79,8.21,0.7,0,4.95,19.81,5.73,0,0,0
 36-46,0,0,0,0,1.05,0,0,0,0,1.98,0.66,0,0,2.58,0,0,0,0
 48-58,0,0,0,0.38,0,0,2.33,0.4,2.72,0,0,0,0,4.61,0,0,4.77,0
 60-70,0,0,0,4.19,0,0,0,0,0,0.75,0,0,0,0,0,0,1.06,0
 72-82,0,0,0,0,1.31,0,0,2.51,0,0,0,0,0,0,0,0,0,8.57
 84-94,0,0.69,0,0,0,0,1.49,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.41,0,7.61,0,2.89,0.76,1.46,4.24,0,0,0,0,0,0,0,0
108-118,0,0,0,0,2.99,0,2.91,4.57,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,2.71,10.52,0,0,0,0,0,0,0,0,0,0
